row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Vay ngắn hạn ngân hàng (TM số 23.1),Ngắn hạn > Vay ngắn hạn ngân hàng (TM số 23.1),Vay ngắn hạn ngân hàng (TM số 23.1),3.426.076.776,2.349.187.676,3426076776.0,2349187676.0
Vay dài hạn trái phiếu đến hạn trả (TM số 23.2),Ngắn hạn > Vay dài hạn trái phiếu đến hạn trả (TM số 23.2),Vay dài hạn trái phiếu đến hạn trả (TM số 23.2),1.918.506.150,1.748.934.978,1918506150.0,1748934978.0
Vay dài hạn ngân hàng đến hạn trả (TM số 23.3),Ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (TM số 23.3),Vay dài hạn ngân hàng đến hạn trả (TM số 23.3),344.191.553,353.755.653,344191553.0,353755653.0
Vay dài hạn từ công ty đến hạn trả (TM số 23.5),Ngắn hạn > Vay dài hạn từ công ty đến hạn trả (TM số 23.5),Vay dài hạn từ công ty đến hạn trả (TM số 23.5),43.543.775,71.690.783,43543775.0,71690783.0
Vay ngắn hạn từ công ty (TM số 23.4),Ngắn hạn > Vay ngắn hạn từ công ty (TM số 23.4),Vay ngắn hạn từ công ty (TM số 23.4),16.000.000,5.000.000,16000000.0,5000000.0
,,,5.748.318.254,4.528.569.090,5748318254.0,4528569090.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vay dài hạn trái phiếu (TM số 23.2),Dài hạn > Vay dài hạn trái phiếu (TM số 23.2),Vay dài hạn trái phiếu (TM số 23.2),1.171.204.218,3.199.130.581,1171204218.0,3199130581.0
Vay dài hạn từ công ty (TM số 23.5),Dài hạn > Vay dài hạn từ công ty (TM số 23.5),Vay dài hạn từ công ty (TM số 23.5),30.485.439,97.930.000,30485439.0,97930000.0
Vay dài hạn ngân hàng (TM số 23.3),Dài hạn > Vay dài hạn ngân hàng (TM số 23.3),Vay dài hạn ngân hàng (TM số 23.3),15.462.281,43.360.227,15462281.0,43360227.0
,,,1.217.151.938,3.340.420.808,1217151938.0,3340420808.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,6.965.470.192,7.868.989.898,6965470192.0,7868989898.0
