row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,5.894.531.814,6.492.569.736,5894531814.0,6492569736.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,4.245.538.896,3.021.145.744,4245538896.0,3021145744.0
Doanh thu bán heo,Trong đó: > Doanh thu bán heo,Doanh thu bán heo,1.003.842.567,1.963.826.778,1003842567.0,1963826778.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,552.366.307,1.102.003.171,552366307.0,1102003171.0
Doanh thu từ cung cấp dịch vụ,Trong đó: > Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,85.754.136,361.071.533,85754136.0,361071533.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,7.029.908,44.522.510,7029908.0,44522510.0
Khoản giảm trừ,Trong đó: > Khoản giảm trừ,Khoản giảm trừ,(111.481.812),(50.172.537),-111481812.0,-50172537.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(111.481.812),(50.172.537),-111481812.0,-50172537.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,5.783.050.002,6.442.397.199,5783050002.0,6442397199.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,4.138.753.032,2.975.151.761,4138753032.0,2975151761.0
Doanh thu bán heo,Trong đó: > Doanh thu bán heo,Doanh thu bán heo,1.003.842.567,1.963.826.778,1003842567.0,1963826778.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,552.366.307,1.102.003.171,552366307.0,1102003171.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,85.754.136,356.892.979,85754136.0,356892979.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,2.333.960,44.522.510,2333960.0,44522510.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên thứ ba,Trong đó: > Doanh thu thuần với các bên thứ ba,Doanh thu thuần với các bên thứ ba,5.454.020.622,5.480.649.395,5454020622.0,5480649395.0
Doanh thu thuần với các bên liên quan(TM số 33),Trong đó: > Doanh thu thuần với các bên liên quan(TM số 33),Doanh thu thuần với các bên liên quan(TM số 33),329.029.380,961.747.804,329029380.0,961747804.0
