row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,955.741.541,1.101.924.937,955741541.0,1101924937.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,Trong đó: > - Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,- Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,500.773.641,577.109.903,500773641.0,577109903.0
- Công ty Cổ phần IAPACCO,Trong đó: > - Công ty Cổ phần IAPACCO,- Công ty Cổ phần IAPACCO,123.643.769,58.396.349,123643769.0,58396349.0
- Các nhà cung cấp khác,Trong đó: > - Các nhà cung cấp khác,- Các nhà cung cấp khác,331.324.131,466.418.685,331324131.0,466418685.0
Phải trả nhà thầu xây dựng,Trong đó: > Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,30.404.149,20.950.612,30404149.0,20950612.0
Phải trả người bán máy móc và thiết bị,Trong đó: > Phải trả người bán máy móc và thiết bị,Phải trả người bán máy móc và thiết bị,1.162.384,457.174,1162384.0,457174.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,987.308.074,1.123.332.723,987308074.0,1123332723.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,934.456.558,1.038.546.399,934456558.0,1038546399.0
Phải trả các bên liên quan (TM số 33),Trong đó: > Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),52.851.516,84.786.324,52851516.0,84786324.0
