row_label_raw,row_label_full,(1),Công ty TNHH Hưng Thắng Lợi Gia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"98,78","98,78_1",numeric__Công ty TNHH Hưng Thắng Lợi Gia Lai,"numeric__Gia Lai, Việt Nam",numeric__Đang hoạt động,"numeric__98,78","numeric__98,78_1"
(2),(2),(2),Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,"Champasak, Lào",Đang hoạt động,"100,00","98,78",,,,100.0,98.78
(3),(3),(3),"Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay (""Khăn Xay"")","Attapeu, Lào",Đang hoạt động,"100,00","98,78",,,,100.0,98.78
(4),(4),(4),"Công ty Cổ phần Chăn nuôi Gia Lai (""Chăn nuôi Gia Lai"")","Gia Lai, Việt Nam",Đang hoạt động,"85,00","85,00",,,,85.0,85.0
(5),(5),(5),Công ty Cổ Phần Gia sức Lơ Pang,"Gia Lai, Việt Nam",Đang hoạt động,"100,00","99,91",,,,100.0,99.91
(6),(6),(6),Công ty Cổ phần Lê Me,"Gia Lai, Việt Nam",Đang hoạt động,"100,00","98,47",,,,100.0,98.47
(7),(7),(7),Công ty TNHH Sản xuất Bột mì,"Stung Treng, Campuchia",Đang hoạt động,"100,00","98,47",,,,100.0,98.47
(8),(8),(8),Công ty TNHH Nông nghiệp Công Nghệ cao Bolaven,"Champasak, Lào",Đang hoạt động,"100,00","98,78",,,,100.0,98.78
(9),(9),(9),Công ty TNHH MTV Phát triển Nông nghiệp Hoàn Thịnh Attapeu,"Attapeu, Lào",Đang hoạt động,"100,00","97,49",,,,100.0,97.49
(10),(10),(10),Công ty Cổ phần Chế biến thức ăn gia súc Trà Bá,"Gia Lai, Việt Nam",Đang hoạt động,"100,00","97,49",,,,100.0,97.49
(11),(11),(11),Công ty Cổ phần Nông nghiệp Kon Thụp,"Gia Lai, Việt Nam",Đang chờ giải thể (i),"88,03","88,03",,,,88.03,88.03
