row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),,,
Công ty TNHH,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH,Công ty TNHH,Cho mượn,410.703.871,200.296.688,,410703871.0,200296688.0
Công ty TNHH,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH,Công ty TNHH,HĐ HTKD,350.000.000,350.000.000,,350000000.0,350000000.0
Dịch vụ Nông nghiệp Tây,Phải thu ngắn hạn khác (TM số 9) > Dịch vụ Nông nghiệp Tây,Dịch vụ Nông nghiệp Tây,Lãi cho vay,63.812.388,148.002.284,,63812388.0,148002284.0
Nguyên,Phải thu ngắn hạn khác (TM số 9) > Nguyên,Nguyên,Khác,22.000,1.322.000,,22000.0,1322000.0
Công ty Cổ phần Cá Nước Ngọt Gia Lai,Phải thu ngắn hạn khác (TM số 9) > Công ty Cổ phần Cá Nước Ngọt Gia Lai,Công ty Cổ phần Cá Nước Ngọt Gia Lai,Chi hộ,1.690.115,-,,1690115.0,
Công ty Cổ phần Chế biến Thức ăn Gia sức Đông Gia Lai,Phải thu ngắn hạn khác (TM số 9) > Công ty Cổ phần Chế biến Thức ăn Gia sức Đông Gia Lai,Công ty Cổ phần Chế biến Thức ăn Gia sức Đông Gia Lai,Lãi cho vay,67.280.380,-,,67280380.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Lãi cho vay,-,10.653.887,,,10653887.0
Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Lãi cho vay,-,1.636.032,,,1636032.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu ngắn hạn khác (TM số 9) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Cho mượn,679.661,679.661,,679661.0,679661.0
Ông Lê Văn Thạch,Phải thu ngắn hạn khác (TM số 9) > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Tạm ứng,-,300.000,,,300000.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Phải thu ngắn hạn khác (TM số 9) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Khác,129.400,129.400,,129400.0,129400.0
,,,,894.317.815,713.019.952,,894317815.0,713019952.0
Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),Phải thu dài hạn khác (TM số 9),,,
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu dài hạn khác (TM số 9) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Lãi cho vay,-,66.088.170,,,66088170.0
