row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__Ngàn VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.268.943,231.435.886,(219.116.394),22.588.435,10268943.0,231435886.0,-219116394.0,22588435.0
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải thu > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),7.539,-,-,7.539,7539.0,,,7539.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,3.127.579,4.381,-,3.131.960,3127579.0,4381.0,,3131960.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,13.404.061,231.440.267,(219.116.394),25.727.934,13404061.0,231440267.0,-219116394.0,25727934.0
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,20.342.068,206.566.779,(224.984.678),1.924.169,20342068.0,206566779.0,-224984678.0,1924169.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.229.735,13.490.039,(14.739.166),1.980.608,3229735.0,13490039.0,-14739166.0,1980608.0
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải trả > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),28.062.353,922.479,(28.881.207),103.625,28062353.0,922479.0,-28881207.0,103625.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,586.909,7.356.721,(7.576.430),367.200,586909.0,7356721.0,-7576430.0,367200.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,52.221.065,228.336.018,(276.181.481),4.375.602,52221065.0,228336018.0,-276181481.0,4375602.0
