row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.835.907.331,583.856.464,818.378.598,2.204.254.806,6.442.397.199,2835907331.0,583856464.0,818378598.0,2204254806.0,6442397199.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,186.139.960,165.429.948,11.770.258,-,363.340.166,186139960.0,165429948.0,11770258.0,,363340166.0
Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,15.458.887.011,4.095.769.032,1.306.786.699,-,20.861.442.742,15458887011.0,4095769032.0,1306786699.0,,20861442742.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,41.812.548,,,,,41812548.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,20.903.255.290,,,,,20903255290.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.344.341.999,1.417.181.096,903.344.935,1.118.181.972,5.783.050.002,2344341999.0,1417181096.0,903344935.0,1118181972.0,5783050002.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,135.775.261,428.155.574,281.299.130,-,845.229.965,135775261.0,428155574.0,281299130.0,,845229965.0
Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,13.823.574.707,6.195.798.116,2.111.734.191,-,22.131.107.014,13823574707.0,6195798116.0,2111734191.0,,22131107014.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,149.708.825,,,,,149708825.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,22.280.815.839,,,,,22280815839.0
