row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,214.383.242,207.867.690,214383242.0,207867690.0
Chi phí lương nhân viên,Chi phí bán hàng > Chi phí lương nhân viên,Chi phí lương nhân viên,5.589.929,7.308.508,5589929.0,7308508.0
Chi phí khấu hao và hao mòn,Chi phí bán hàng > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,4.972.520,5.291.908,4972520.0,5291908.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,171.541.311,34.589.970,171541311.0,34589970.0
,,,396.487.002,255.058.076,396487002.0,255058076.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,77.203.527,89.491.815,77203527.0,89491815.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,37.648.488,25.644.136,37648488.0,25644136.0
Dự phòng (hoàn nhập) các khoản phải thu khó đòi,Chi phí quản lý doanh nghiệp > Dự phòng (hoàn nhập) các khoản phải thu khó đòi,Dự phòng (hoàn nhập) các khoản phải thu khó đòi,17.248.214,(67.573.467),17248214.0,-67573467.0
Chi phí hoạt động,Chi phí quản lý doanh nghiệp > Chi phí hoạt động,Chi phí hoạt động,-,66.793.707,,66793707.0
Chi phí khấu hao,Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,10.236.014,8.356.957,10236014.0,8356957.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,22.948.396,32.387.475,22948396.0,32387475.0
,,,165.284.639,155.100.623,165284639.0,155100623.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,561.771.641,410.158.699,561771641.0,410158699.0
