row_label_raw,row_label_full,Bên liên quan,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),Phải thu về cho vay ngắn hạn (TM số 8),,,
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,"7,5",1.183.527.287,976.155.169,7.5,1183527287.0,976155169.0
Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,Công ty Cổ phần Chế biến Thức ăn Gia súc Đông Gia Lai,"7,5 - 10",1.177.520.568,-,,1177520568.0,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,-,-,984.698.038,,,984698038.0
Công ty TNHH PTNN Hoàng Anh Attapeu,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH PTNN Hoàng Anh Attapeu,Công ty TNHH PTNN Hoàng Anh Attapeu,-,-,112.597.142,,,112597142.0
Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay ngắn hạn (TM số 8) > Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,Công ty TNHH CN&NN Cao su Hoàng Anh - Quang Minh,-,-,16.744.250,,,16744250.0
Các bên liên quan khác,Phải thu về cho vay ngắn hạn (TM số 8) > Các bên liên quan khác,Các bên liên quan khác,-,14.200,14.200,,14200.0,14200.0
,,,,2.361.062.055,2.090.208.799,,2361062055.0,2090208799.0
Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),Phải thu về cho vay dài hạn (TM số 8),,,
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải thu về cho vay dài hạn (TM số 8) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,"7,95",-,274.178.939,7.95,,274178939.0
