row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),Phải trả người bán ngắn hạn (TM số 18),,,
Công ty Cổ phần Cá Nước Ngọt Gia Lai,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Cá Nước Ngọt Gia Lai,Công ty Cổ phần Cá Nước Ngọt Gia Lai,Mua hàng hóa,17.370.300,-,,17370300.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Mua hàng hóa,12.922.878,18.999.661,,12922878.0,18999661.0
Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Mua hàng hóa,11.377.676,23.441.808,,11377676.0,23441808.0
Công ty TNHH MTV Bao bì Linh Khang,Phải trả người bán ngắn hạn (TM số 18) > Công ty TNHH MTV Bao bì Linh Khang,Công ty TNHH MTV Bao bì Linh Khang,Mua hàng hóa,10.680.626,35.456.555,,10680626.0,35456555.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 18) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Mua hàng hóa,436.516,6.827.227,,436516.0,6827227.0
Các bên liên quan khác,Phải trả người bán ngắn hạn (TM số 18) > Các bên liên quan khác,Các bên liên quan khác,Mua hàng hóa,63.520,61.073,,63520.0,61073.0
,,,,52.851.516,84.786.324,,52851516.0,84786324.0
Người mua trả tiền trước ngắn hạn (TM số 19),Người mua trả tiền trước ngắn hạn (TM số 19),Người mua trả tiền trước ngắn hạn (TM số 19),Người mua trả tiền trước ngắn hạn (TM số 19),Người mua trả tiền trước ngắn hạn (TM số 19),Người mua trả tiền trước ngắn hạn (TM số 19),,,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Người mua trả tiền trước ngắn hạn (TM số 19) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai - CN Nhà Máy Nhựa,Ứng tiền mua hàng hóa,-,8.228.718,,,8228718.0
Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),Phải trả ngắn hạn khác (TM số 22),,,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 22) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Khác,4.589.720,39.720,,4589720.0,39720.0
Ông Lê Văn Thạch,Phải trả ngắn hạn khác (TM số 22) > Ông Lê Văn Thạch,Ông Lê Văn Thạch,Mượn tiền,2.433.711,3.418.822,,2433711.0,3418822.0
Ông Trần Văn Dai,Phải trả ngắn hạn khác (TM số 22) > Ông Trần Văn Dai,Ông Trần Văn Dai,Khác,753.136,-,,753136.0,
,,,,7.776.567,3.458.542,,7776567.0,3458542.0
Vay (TM số 23),Vay (TM số 23),Vay (TM số 23),Vay (TM số 23),Vay (TM số 23),Vay (TM số 23),,,
Công ty TNHH MTV Bao bì Linh Khang,Vay (TM số 23) > Công ty TNHH MTV Bao bì Linh Khang,Công ty TNHH MTV Bao bì Linh Khang,Vay,11.000.000,-,,11000000.0,
