row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả tiền mượn từ các công ty và cá nhân (i),Ngắn hạn > Phải trả tiền mượn từ các công ty và cá nhân (i),Phải trả tiền mượn từ các công ty và cá nhân (i),63.520.814,126.079.114,63520814.0,126079114.0
Phải trả nhân viên,Ngắn hạn > Phải trả nhân viên,Phải trả nhân viên,2.678.043,32.225.847,2678043.0,32225847.0
Khác,Ngắn hạn > Khác,Khác,47.431.139,41.314.209,47431139.0,41314209.0
,,,113.629.996,199.619.170,113629996.0,199619170.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả tiền mượn từ các công ty và cá nhân (i),Dài hạn > Phải trả tiền mượn từ các công ty và cá nhân (i),Phải trả tiền mượn từ các công ty và cá nhân (i),21.938.626,381.772.904,21938626.0,381772904.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,135.568.622,581.392.074,135568622.0,581392074.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,127.792.055,577.933.532,127792055.0,577933532.0
Phải trả ngắn hạn các bên liên quan (TM số 33),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 33),Phải trả ngắn hạn các bên liên quan (TM số 33),7.776.567,3.458.542,7776567.0,3458542.0
