row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Ngàn VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Công ty Cổ phần Cá Nước Ngọt Gia Lai,Công ty Cổ phần Cá Nước Ngọt Gia Lai,Công ty Cổ phần Cá Nước Ngọt Gia Lai,Bán hàng hóaMua hàng hóaChi hộThu nhập khác,230.854.89017.759.5807.662.857364.952,----,,2.308548901775958e+29,
Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Công ty Cổ phần Chế biến Thức ăn Gia súc ĐôngGia Lai,Cho vayLãi cho vayBán hàng hóaMua hàng hóaThu nhập khác,329.951.498121.119.67698.174.49074.456.962280.000,----492.645.513564.399.946-,,3.299514981211197e+39,
Công ty TNHH MTV Bao bl Linh Khang,Công ty TNHH MTV Bao bl Linh Khang,Công ty TNHH MTV Bao bl Linh Khang,Mua hàng hóaVayTrả gốc vay,75.588.84737.000.00026.000.000,12.195.863----,,7.558884737000001e+23,
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Lãi cho vayLãi trái phiếuMua hàng hóaCho vay,96.634.79417.277.00015.113.602-,52.826.13215.083.333179.971.37233.103.058,,,5.282613215083333e+32
Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Công ty Cổ phần Xuất Nhập khẩu Dược Thú y Nasa,Mua hàng hóa,9.595.781,14.859.090,,9595781.0,14859090.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Gớp vốnLãi cho vayCho vay,----,3.450.326.000163.254.1767.082.350,,,3.4503260001632544e+25
Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Nhận chuyển nhượng khoản đầu tưLãi cho vay,----,289.200.0006.609.720,,,2892000006609720.0
Ông Lê Văn Thạch,Ông Lê Văn Thạch,Ông Lê Văn Thạch,Nhận chuyển nhượng khoản đầu tưLãi cho vay,----,144.600.0007.009.860,,,1446000007009860.0
Ông Trần Quang Dũng,Ông Trần Quang Dũng,Ông Trần Quang Dũng,Nhận chuyển nhượng khoản đầu tưLãi cho vay,----,48.200.0001.101.620,,,482000001101620.0
Công ty Cổ phần BAPI Hoàng Anh Gia Lai,Công ty Cổ phần BAPI Hoàng Anh Gia Lai,Công ty Cổ phần BAPI Hoàng Anh Gia Lai,Bán hàng hóa,-,42.858.092,,,42858092.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Bán hàng hóa,-,970.345,,,970345.0
