row_label_raw,row_label_full,Tên đối tượng > Công ty TNHH MTV Bao Bì Linh Khang (TM số 33) > Công ty TNHH Nông nghiệp Phú Quý Gia Lai,Số tiền(Ngàn VND) > 11.000.000 > 5.000.000,Thời hạn thanh toánvà ngày đáo hạn > Ngày 18 tháng 12 năm 2025 > Ngày 16 tháng 10 năm 2025,"Lãi suất(%/năm) > 8,30 > 5,00",Tài sản thế chấp > Tín chấp,numeric__Số tiền(Ngàn VND) > 11.000.000 > 5.000.000,numeric__Thời hạn thanh toánvà ngày đáo hạn > Ngày 18 tháng 12 năm 2025 > Ngày 16 tháng 10 năm 2025,"numeric__Lãi suất(%/năm) > 8,30 > 5,00",numeric__Tài sản thế chấp > Tín chấp
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,16.000.000,,,,16000000.0,,,
23.5 Vay dài hạn từ công tyĐây là các khoản vay dài hạn từ các công ty nhằm mục đích bổ sung vốn lưu động của Tập đoàn với chi tiết như sau:,23.5 Vay dài hạn từ công tyĐây là các khoản vay dài hạn từ các công ty nhằm mục đích bổ sung vốn lưu động của Tập đoàn với chi tiết như sau:,23.5 Vay dài hạn từ công tyĐây là các khoản vay dài hạn từ các công ty nhằm mục đích bổ sung vốn lưu động của Tập đoàn với chi tiết như sau:,23.5 Vay dài hạn từ công tyĐây là các khoản vay dài hạn từ các công ty nhằm mục đích bổ sung vốn lưu động của Tập đoàn với chi tiết như sau:,23.5 Vay dài hạn từ công tyĐây là các khoản vay dài hạn từ các công ty nhằm mục đích bổ sung vốn lưu động của Tập đoàn với chi tiết như sau:,23.5 Vay dài hạn từ công tyĐây là các khoản vay dài hạn từ các công ty nhằm mục đích bổ sung vốn lưu động của Tập đoàn với chi tiết như sau:,23.5 Vay dài hạn từ công tyĐây là các khoản vay dài hạn từ các công ty nhằm mục đích bổ sung vốn lưu động của Tập đoàn với chi tiết như sau:,,,,
Tên đối tượng,Tên đối tượng,Tên đối tượng,Số tiền(Ngàn VND),Thời hạn thanh toánvà ngày đáo hạn,Lãi suất(%/năm),Tài sản thế chấp,,,,
Công ty TNHH Thương mại Dịch vụ M.I.S.CBình Dương,Tên đối tượng > Công ty TNHH Thương mại Dịch vụ M.I.S.CBình Dương,Công ty TNHH Thương mại Dịch vụ M.I.S.CBình Dương,60.543.783,Từ ngày 12 tháng 7 năm 2025đến ngày 1 tháng 12 năm 2026,"5,00",Tín chấp,60543783.0,,5.0,
Công ty Cổ phần Tổng hợp PC,Tên đối tượng > Công ty Cổ phần Tổng hợp PC,Công ty Cổ phần Tổng hợp PC,13.485.431,Từ ngày 12 tháng 4 năm 2025đến ngày 12 tháng 4 năm 2026,"7,95",Tín chấp,13485431.0,,7.95,
TỔNG CỘNG,Tên đối tượng > TỔNG CỘNG,TỔNG CỘNG,74.029.214,,,,74029214.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Tên đối tượng > Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,30.485.43943.543.775,,,,3048543943543775.0,,,
