row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận chuyển,Thiết bịvăn phòng,Vườn cây ăn quả,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Vườn cây ăn quả,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.139.351.855,210.738.289,464.418.703,4.104.463,4.322.288.394,7.140.901.704,2139351855.0,210738289.0,464418703.0,4104463.0,4322288394.0,7140901704.0
Đầu tư xây dựng cơ bảnhoản thành,Nguyên giá > Đầu tư xây dựng cơ bảnhoản thành,Đầu tư xây dựng cơ bảnhoản thành,514.642.119,1.170.391,48.249.894,-,414.770.133,978.832.537,514642119.0,1170391.0,48249894.0,,414770133.0,978832537.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,5.898.251,5.415.861,174.540,-,11.488.652,,5898251.0,5415861.0,174540.0,,11488652.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,45.964.062,-,-,-,(71.917.505),(25.953.443),45964062.0,,,,-71917505.0,-25953443.0
Xóa số và thanh lý tài sản,Nguyên giá > Xóa số và thanh lý tài sản,Xóa số và thanh lý tài sản,(3.105.484),(3.648.364),(1.247.352),-,(5.884.262),(13.885.462),-3105484.0,-3648364.0,-1247352.0,,-5884262.0,-13885462.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,47.758.455,1.520.776,12.949.351,-,56.012.629,118.241.211,47758455.0,1520776.0,12949351.0,,56012629.0,118241211.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.744.611.007,215.679.343,529.786.457,4.279.003,4.715.269.389,8.209.625.199,2744611007.0,215679343.0,529786457.0,4279003.0,4715269389.0,8209625199.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,40.070.327,19.892.254,29.813.377,2.931.567,6.689.440,99.396.965,40070327.0,19892254.0,29813377.0,2931567.0,6689440.0,99396965.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(415.870.523),(76.517.490),(160.923.052),(3.555.701),(740.296.131),(1.397.162.897),-415870523.0,-76517490.0,-160923052.0,-3555701.0,-740296131.0,-1397162897.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(120.947.534),(18.440.126),(39.868.736),(267.479),(300.012.679),(479.536.554),-120947534.0,-18440126.0,-39868736.0,-267479.0,-300012679.0,-479536554.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,(6.905.524),-,-,-,13.930.510,7.024.986,-6905524.0,,,,13930510.0,7024986.0
Xóa số và thanh lý tài sản,Giá trị khấu hao lũy kế > Xóa số và thanh lý tài sản,Xóa số và thanh lý tài sản,455.449,330.113,1.193.085,-,-,1.978.647,455449.0,330113.0,1193085.0,,,1978647.0
Chênh lệch tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(9.485.695),(523.777),(3.646.408),-,(9.113.029),(22.768.909),-9485695.0,-523777.0,-3646408.0,,-9113029.0,-22768909.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(552.753.827),(95.151.280),(203.245.111),(3.823.180),(1.035.491.329),(1.890.464.727),-552753827.0,-95151280.0,-203245111.0,-3823180.0,-1035491329.0,-1890464727.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.723.481.332,134.220.799,303.495.651,548.762,3.581.992.263,5.743.738.807,1723481332.0,134220799.0,303495651.0,548762.0,3581992263.0,5743738807.0
Số cuối năm (*),Giá trị còn lại > Số cuối năm (*),Số cuối năm (*),2.191.857.180,120.528.063,326.541.346,455.823,3.679.778.060,6.319.160.472,2191857180.0,120528063.0,326541346.0,455823.0,3679778060.0,6319160472.0
