row_label_raw,row_label_full,Chi tiết trái phiếu thường như sau:,Chi tiết trái phiếu thường như sau:_1,Chi tiết trái phiếu thường như sau:_2,numeric__Chi tiết trái phiếu thường như sau:_1,numeric__Chi tiết trái phiếu thường như sau:_2
,,,,Ngàn VND,,
Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Số cuối năm,Số đầu năm,,
"BIDV và Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"")","Tổ chức thu xếp phát hành > BIDV và Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"")","BIDV và Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"")",3.105.000.000,4.671.000.000,3105000000.0,4671000000.0
"Công ty TNHH Chứng khoán ACB (""ACBS"")","Tổ chức thu xếp phát hành > Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")",-,300.000.000,,300000000.0
Chi phí phát hành trái phiếu,Tổ chức thu xếp phát hành > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(15.289.632),(22.934.441),-15289632.0,-22934441.0
TỔNG CỘNG,Tổ chức thu xếp phát hành > TỔNG CỘNG,TỔNG CỘNG,3.089.710.368,4.948.065.559,3089710368.0,4948065559.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,1.171.204.218,3.199.130.581,1171204218.0,3199130581.0
Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,Trong đó: > Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,1.918.506.150,1.748.934.978,1918506150.0,1748934978.0
