row_label_raw,row_label_full,Số đầu năm > Lợi nhuận trong năm phân bổ cho cổ đông không kiểm soát,Năm nay > 318.505.598 > 46.688.738,Ngàn VNDNăm trước > 200.413.411 > 117.714.832,numeric__Năm nay > 318.505.598 > 46.688.738,numeric__Ngàn VNDNăm trước > 200.413.411 > 117.714.832
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát của các công ty con,216.575.980,(7.138.686),216575980.0,-7138686.0
Giải thể công ty con,Giải thể công ty con,Giải thể công ty con,(388.465),-,-388465.0,
Mua công ty con,Mua công ty con,Mua công ty con,-,30.503.545,,30503545.0
Mất quyền kiểm soát công ty con,Mất quyền kiểm soát công ty con,Mất quyền kiểm soát công ty con,-,(22.987.504),,-22987504.0
Số cuối năm,Số cuối năm,Số cuối năm,581.381.851,318.505.598,581381851.0,318505598.0
