row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con,Cổ tức phải thu,44.037.500.000,col_4,numeric__Công ty con,numeric__Cổ tức phải thu,numeric__44.037.500.000,numeric__col_4
Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty con,Lãi cho vay,144.247.997,144.247.997,,,144247997.0,144247997.0
Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty Cổ phần Xuất Nhập khẩu Việt Ta,Công ty con,Chi phí trả hộ,65.161.235,17.089.272,,,65161235.0,17089272.0
Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty con,Chi phí trả hộ,11.648.423,786.175.456,,,11648423.0,786175456.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phí trả hộ,5.463.990,-,,,5463990.0,
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Chi phí trả hộ,-,15.442.165.681,,,,15442165681.0
Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty con,Chi phí trả hộ,-,191.385.590,,,,191385590.0
Công ty Cổ phần Vị Tâm,Công ty Cổ phần Vị Tâm,Công ty Cổ phần Vị Tâm,Công ty con,Lãi cho vay,-,101.493.400,,,,101493400.0
Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty con,Lãi cho vay,-,45.000.000,,,,45000000.0
,,,,,44.264.021.645,16.727.557.396,,,44264021645.0,16727557396.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Nhà Hòa Bình,Phải thu dài hạn khác > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Ký quỹ thuê văn phòng,1.394.314.302,1.055.847.327,,,1394314302.0,1055847327.0
