row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Hoàn nhập dự phòng trong năm,Năm nay > (91.258.078.186) > (132.018.100.810) > 41.253.671.192,VNDNăm trước > (155.448.133.048) > (113.913.957.138) > 146.730.667.949,numeric__Năm nay > (91.258.078.186) > (132.018.100.810) > 41.253.671.192,numeric__VNDNăm trước > (155.448.133.048) > (113.913.957.138) > 146.730.667.949
Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,-,31.373.344.051,,31373344051.0
Số cuối năm,Số cuối năm,Số cuối năm,(182.022.507.804),(91.258.078.186),-182022507804.0,-91258078186.0
