row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty TNHH MTVMáy Xây dựng Matec,Phải trả người bán ngắn hạn > Công ty TNHH MTVMáy Xây dựng Matec,Công ty TNHH MTVMáy Xây dựng Matec,Công ty con,Thuêmáy móc,56.447.875.795,16.088.679.510,,,56447875795.0,16088679510.0
Công ty Cổ phần Kỹthuật Jesco Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Kỹthuật Jesco Hòa Bình,Công ty Cổ phần Kỹthuật Jesco Hòa Bình,Công tyliên kết,Chi phíthầu phụ,39.616.446.595,84.001.747.509,,,39616446595.0,84001747509.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phíthầu phụ,22.687.570.769,39.630.661.035,,,22687570769.0,39630661035.0
Công ty TNHH Xây dựng Anh Huy,Phải trả người bán ngắn hạn > Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty con,Chi phíthầu phụ,16.909.311.719,14.294.991.270,,,16909311719.0,14294991270.0
Công ty Cổ phần Xuấtnhập khấu Việt Ta,Phải trả người bán ngắn hạn > Công ty Cổ phần Xuấtnhập khấu Việt Ta,Công ty Cổ phần Xuấtnhập khấu Việt Ta,Công ty con,Mua vật tưxây dựng,5.907.436.840,9.586.519.754,,,5907436840.0,9586519754.0
Công ty TNHH MTVXây dựng và Địa ốcHòa Bình Hà Nội,Phải trả người bán ngắn hạn > Công ty TNHH MTVXây dựng và Địa ốcHòa Bình Hà Nội,Công ty TNHH MTVXây dựng và Địa ốcHòa Bình Hà Nội,Công ty con,Chi phíthầu phụ,4.999.910.548,5.046.773.997,,,4999910548.0,5046773997.0
Công ty TNHH Tư vấnThiết kế Hòa Bình,Phải trả người bán ngắn hạn > Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty con,Chi phíthầu phụ,4.742.242.940,1.467.823.500,,,4742242940.0,1467823500.0
Công ty TNHH SơnHòa Bình,Phải trả người bán ngắn hạn > Công ty TNHH SơnHòa Bình,Công ty TNHH SơnHòa Bình,Công ty con,Chi phíthầu phụ,3.057.933.651,6.665.425.924,,,3057933651.0,6665425924.0
,,,,,154.368.728.857,176.782.622.499,,,154368728857.0,176782622499.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Dịch vụxây dựng,28.782.156.978,42.199.898.989,,,28782156978.0,42199898989.0
Công ty TNHH Xây dựng Anh Huy,Người mua trả tiền trước ngắn hạn > Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty con,Dịch vụxây dựng,4.501.575.212,-,,,4501575212.0,
Công ty TNHH Tư vấnThiết kế Hòa Bình,Người mua trả tiền trước ngắn hạn > Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty con,Dịch vụxây dựng,1.023.000.000,-,,,1023000000.0,
Công ty Cổ phần TiếnPhát Sanyo Homes,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần TiếnPhát Sanyo Homes,Công ty Cổ phần TiếnPhát Sanyo Homes,Công ty con,Dịch vụxây dựng,60.300.000,-,,,60300000.0,
,,,,,34.367.032.190,42.199.898.989,,,34367032190.0,42199898989.0
Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,,,,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Người mua trả tiền trước dài hạn > Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Dịch vụxây dựng,-,35.891.344.534,,,,35891344534.0
Công ty TNHH Tư vấnThiết kế Hòa Bình,Người mua trả tiền trước dài hạn > Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty TNHH Tư vấnThiết kế Hòa Bình,Công ty con,Dịch vụxây dựng,-,1.023.000.000,,,,1023000000.0
,,,,,-,36.914.344.534,,,,36914344534.0
