row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,573.685.670.000,301.199.313.203,(110.073.072.979),94.548.441.157,114.286.228.068,973.646.579.449,573685670000.0,301199313203.0,-110073072979.0,94548441157.0,114286228068.0,973646579449.0
Phát hành cổ phiếu thường,Năm trước > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,172.094.400.000,(172.094.400.000),-,-,-,-,172094400000.0,-172094400000.0,,,,
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,9.818.300.000,-,-,-,-,9.818.300.000,9818300000.0,,,,,9818300000.0
Tái phát hành cổ phiếu quỹ,Năm trước > Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,(23.061.590.222),110.073.072.979,-,-,87.011.482.757,,-23061590222.0,110073072979.0,,,87011482757.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,171.791.820.634,171.791.820.634,,,,,171791820634.0,171791820634.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,(86.052.850.500),(86.052.850.500),,,,,-86052850500.0,-86052850500.0
"Trích lập quỹ khen thường,phúc lợi","Năm trước > Trích lập quỹ khen thường,phúc lợi","Trích lập quỹ khen thường,phúc lợi",-,-,-,-,(16.111.529.424),(16.111.529.424),,,,,-16111529424.0,-16111529424.0
Thù lao Hội đồng Quản trị,Năm trước > Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(640.000.000),(640.000.000),,,,,-640000000.0,-640000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,755.598.370.000,106.043.322.981,-,94.548.441.157,183.273.668.778,1.139.463.802.916,755598370000.0,106043322981.0,,94548441157.0,183273668778.0,1139463802916.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,755.598.370.000,106.043.322.981,-,94.548.441.157,183.273.668.778,1.139.463.802.916,755598370000.0,106043322981.0,,94548441157.0,183273668778.0,1139463802916.0
Phát hành cổ phiếu (*),Năm nay > Phát hành cổ phiếu (*),Phát hành cổ phiếu (*),198.866.200.000,(75.549.210.000),-,-,(113.327.090.000),9.989.900.000,198866200000.0,-75549210000.0,,,-113327090000.0,9989900000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,532.835.462.948,532.835.462.948,,,,,532835462948.0,532835462948.0
"Trích lập quỹ khen thường,phúc lợi (**)","Năm nay > Trích lập quỹ khen thường,phúc lợi (**)","Trích lập quỹ khen thường,phúc lợi (**)",-,-,-,-,(53.283.546.295),(53.283.546.295),,,,,-53283546295.0,-53283546295.0
Thù lao Hội đồng Quản trị,Năm nay > Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(1.164.000.000),(1.164.000.000),,,,,-1164000000.0,-1164000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,954.464.570.000,30.494.112.981,-,94.548.441.157,548.334.495.431,1.627.841.619.569,954464570000.0,30494112981.0,,94548441157.0,548334495431.0,1627841619569.0
