row_label_raw,row_label_full,Cho bên liên quan vay (Thuyết minh số 32),Số cuối năm > 471.971.035.723,VND Số đầu năm > 283.880.294.880,numeric__Số cuối năm > 471.971.035.723,numeric__VND Số đầu năm > 283.880.294.880
Cho bên khác vay,Cho bên khác vay,Cho bên khác vay,32.905.631.799,26.797.972.467,32905631799.0,26797972467.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,504.876.667.522,310.678.267.347,504876667522.0,310678267347.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(300.000.000),(1.876.340.535),-300000000.0,-1876340535.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,504.576.667.522,308.801.926.812,504576667522.0,308801926812.0
