row_label_raw,row_label_full,Người cho vay > Cá nhân,Số cuối năm (VND) > 4.866.222.481,Ngày đáo hạn > Từ ngày 27 tháng 3 năm 2017 đến ngày 29 tháng 11 năm 2017,"Lãi suất (%/năm) > 6,0 - 7,0",Chi tiết tài sản đảm bảo > Tín chấp,numeric__Số cuối năm (VND) > 4.866.222.481,numeric__Ngày đáo hạn > Từ ngày 27 tháng 3 năm 2017 đến ngày 29 tháng 11 năm 2017,"numeric__Lãi suất (%/năm) > 6,0 - 7,0",numeric__Chi tiết tài sản đảm bảo > Tín chấp
Nhân viên,Nhân viên,Nhân viên,1.212.592.706,Không xác định,"7,0",Tín chấp,1212592706.0,,7.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.078.815.187,,,,6078815187.0,,,
