row_label_raw,row_label_full,Đầu tư vào các công ty con(Thuyết minh số 5.2.1) > Đầu tư vào các công ty liên kết(Thuyết minh số 5.2.2) > Đầu tư góp vốn vào các đơn vị khác(Thuyết minh số 5.2.3),Số cuối năm > 524.595.142.575 > 75.440.020.000 > 39.227.400.000,VND Số đầu năm > 334.685.306.524 > 134.230.199.051 > 4.185.000.000,numeric__Số cuối năm > 524.595.142.575 > 75.440.020.000 > 39.227.400.000,numeric__VND Số đầu năm > 334.685.306.524 > 134.230.199.051 > 4.185.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,639.262.562.575,473.100.505.575,639262562575.0,473100505575.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(224.233.336.261),(211.942.706.942),-224233336261.0,-211942706942.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Đầu tư vào các công ty con,Trong đó: > Đầu tư vào các công ty con,Đầu tư vào các công ty con,(205.272.861.076),(195.924.735.199),-205272861076.0,-195924735199.0
Đầu tư vào các công ty liên kết,Trong đó: > Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,(15.804.404.946),(15.939.581.067),-15804404946.0,-15939581067.0
Đầu tư góp vốn vào các đơn vị khác,Trong đó: > Đầu tư góp vốn vào các đơn vị khác,Đầu tư góp vốn vào các đơn vị khác,(3.156.070.239),(78.390.676),-3156070239.0,-78390676.0
ĐẦU TƯ THUẦN,Trong đó: > ĐẦU TƯ THUẦN,ĐẦU TƯ THUẦN,415.029.226.314,261.157.798.633,415029226314.0,261157798633.0
