row_label_raw,row_label_full,Số đầu năm > Đã chi quỹ từ các năm trước,Năm nay > - > (1.465.389.414),VNDNăm trước > 69.485.804 > -,numeric__Năm nay > - > (1.465.389.414),numeric__VNDNăm trước > 69.485.804 > -
Trích từ lợi nhuận sau thuế chưa phân phối,Trích từ lợi nhuận sau thuế chưa phân phối,Trích từ lợi nhuận sau thuế chưa phân phối,53.283.546.295,16.111.529.424,53283546295.0,16111529424.0
Chi quỹ trong năm,Chi quỹ trong năm,Chi quỹ trong năm,(49.755.647.410),(16.181.015.228),-49755647410.0,-16181015228.0
Số cuối năm,Số cuối năm,Số cuối năm,2.062.509.471,-,2062509471.0,
