row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Số cuối năm(VND) > 100.000.000.000,Ngày đáo hạn > Ngày 28 tháng 2 năm 2021,"Lãi suất(%/năm) > 5,0",Chi tiết tài sảnđảm bảo > Tín chấp,numeric__Số cuối năm(VND) > 100.000.000.000,numeric__Ngày đáo hạn > Ngày 28 tháng 2 năm 2021,"numeric__Lãi suất(%/năm) > 5,0",numeric__Chi tiết tài sảnđảm bảo > Tín chấp
Trong đó:Vay dài hạnđến hạn trả,Trong đó:Vay dài hạnđến hạn trả,Trong đó:Vay dài hạnđến hạn trả,16.620.954.471,,,,16620954471.0,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,83.379.045.529,,,,83379045529.0,,,
