row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND > Số đầu năm
Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng > Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty con,Dịch vụ xây dựng,92.603.193.144,54.126.235.323,,,92603193144.0,54126235323.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Dịch vụ xây dựng,187.986.821,529.170.000,,,187986821.0,529170000.0
,,,,,92.791.179.965,54.655.405.323,,,92791179965.0,54655405323.0
