row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Hoàn nhập dự phòng trong năm,Năm nay > (4.261.316.500) > (25.347.720.191) > 3.323.316.094,VNDNăm trước > (15.087.693.330) > (2.076.033.575) > 485.720.614,numeric__Năm nay > (4.261.316.500) > (25.347.720.191) > 3.323.316.094,numeric__VNDNăm trước > (15.087.693.330) > (2.076.033.575) > 485.720.614
Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,-,12.416.689.791,,12416689791.0
Số cuối năm,Số cuối năm,Số cuối năm,(26.285.720.597),(4.261.316.500),-26285720597.0,-4261316500.0
