row_label_raw,row_label_full,Tên công ty con,Hoạt động chính,Tình trạng,Số cuối năm > % sở hữu,Số cuối năm > Giá trị (VND),Số đầu năm > % sở hữu,Số đầu năm > Giá trị (VND),numeric__Hoạt động chính,numeric__Tình trạng,numeric__Số cuối năm > % sở hữu,numeric__Số cuối năm > Giá trị (VND),numeric__Số đầu năm > % sở hữu,numeric__Số đầu năm > Giá trị (VND)
Công ty Cổ phần Xuất Nhập khấu Việt Ta,Công ty Cổ phần Xuất Nhập khấu Việt Ta,Công ty Cổ phần Xuất Nhập khấu Việt Ta,"Mua bán vật liệu xây dựng, hàng trang trí nội thất; xúc tiến thương mại, đại lý ký gồi hàng hóa; dịch vụ quảng cáo; lắp đặt và gia công hàng trang trí nội thất",Đang hoạt động,"58,20",8.551.000.000,"58,20",8.551.000.000,,,58.2,8551000000.0,58.2,8551000000.0
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Sản xuất và mua bán vật liệu xây dựng; cung cấp dịch vụ trang trí nội thất,Đang hoạt động,"100,00",6.800.000.000,"100,00",6.800.000.000,,,100.0,6800000000.0,100.0,6800000000.0
Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Đầu tư vào Khu biệt thụy nghĩ dưỡng cao cấp Le Royal An Nam,Ngừng hoạt động,"95,84",5.700.000.000,"95,84",5.700.000.000,,,95.84,5700000000.0,95.84,5700000000.0
Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,"Thiết kế, xây dựng và cung cấp dịch vụ giám định kỹ thuật, quản lý xây dựng và quản lý dự án",Trước hoạt động,"100,00",1.066.500.000,"100,00",1.066.500.000,,,100.0,1066500000.0,100.0,1066500000.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,"Tư vấn xây dựng, khảo sát công trình, thiết kế kiến trúc công trình",Đang hoạt động,"74,67",736.806.451,"74,67",736.806.451,,,74.67,736806451.0,74.67,736806451.0
Công ty Cổ phần Vị Tâm,Công ty Cổ phần Vị Tâm,Công ty Cổ phần Vị Tâm,Bán buôn và bán lẻ thực phẩm và đồ uống,Ngừng hoạt động,-,-,"71,05",2.160.000.000,,,,,71.05,2160000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,524.595.142.575,,334.685.306.524,,,,524595142575.0,,334685306524.0
Dự phòng đầu tư vào các công ty con,Dự phòng đầu tư vào các công ty con,Dự phòng đầu tư vào các công ty con,,,,(205.272.861.076),,(195.924.735.199),,,,-205272861076.0,,-195924735199.0
ĐẦU TƯ THUẦN,ĐẦU TƯ THUẦN,ĐẦU TƯ THUẦN,,,,319.322.281.499,,138.760.571.325,,,,319322281499.0,,138760571325.0
