row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.500.924.600,7.400.232.323,1.216.005.358,13.117.162.281,4500924600.0,7400232323.0,1216005358.0,13117162281.0
Mua mới,Nguyên giá > Mua mới,Mua mới,35.289.328.240,746.611.760,-,36.035.940.000,35289328240.0,746611760.0,,36035940000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,39.790.252.840,8.146.844.083,1.216.005.358,49.153.102.281,39790252840.0,8146844083.0,1216005358.0,49153102281.0
Trong đó:Đã hao mòn hết,Nguyên giá > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,1.446.566.265,-,1.446.566.265,,1446566265.0,,1446566265.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(4.180.070.360),(669.445.746),(4.849.516.106),,-4180070360.0,-669445746.0,-4849516106.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.080.746.787),(183.336.504),(1.264.083.291),,-1080746787.0,-183336504.0,-1264083291.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(5.260.817.147),(852.782.250),(6.113.599.397),,-5260817147.0,-852782250.0,-6113599397.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,4.500.924.600,3.220.161.963,546.559.612,8.267.646.175,4500924600.0,3220161963.0,546559612.0,8267646175.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,39.790.252.840,2.886.026.936,363.223.108,43.039.502.884,39790252840.0,2886026936.0,363223108.0,43039502884.0
Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minh số 22.1),Giá trị còn lại > Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minh số 22.1),Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minh số 22.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
