row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
,,,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ trên 01 đến 03 tháng,Từ trên 03 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,
"I Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I Tiền mặt, vàng bạc, đá quý","I Tiền mặt, vàng bạc, đá quý",-,-,711.602,-,-,-,-,711.602,,,711602.0,,,,,711602.0
II Tiền gửi tại NHNN,TÀI SẢN > II Tiền gửi tại NHNN,II Tiền gửi tại NHNN,-,-,786.421,-,-,-,-,786.421,,,786421.0,,,,,786421.0
III Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III Tiền gửi và cho vay các TCTD khác (*),III Tiền gửi và cho vay các TCTD khác (*),-,-,9.037.227,2.000.000,-,735.393,122.185,11.894.805,,,9037227.0,2000000.0,,735393.0,122185.0,11894805.0
IV Chứng khoán kinh doanh (*),TÀI SẢN > IV Chứng khoán kinh doanh (*),IV Chứng khoán kinh doanh (*),-,-,450.000,-,4.018.290,300.000,-,4.768.290,,,450000.0,,4018290.0,300000.0,,4768290.0
V Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > V Các công cụ tài chính phải sinh và các tài sản tài chính khác,V Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,103.023,-,-,-,-,103.023,,,103023.0,,,,,103023.0
VI Cho vay khách hàng (*),TÀI SẢN > VI Cho vay khách hàng (*),VI Cho vay khách hàng (*),513.879,617.146,12.623.942,11.753.327,18.022.544,34.947.309,15.642.453,94.120.600,513879.0,617146.0,12623942.0,11753327.0,18022544.0,34947309.0,15642453.0,94120600.0
VIII Chứng khoán đầu tư (*),TÀI SẢN > VIII Chứng khoán đầu tư (*),VIII Chứng khoán đầu tư (*),-,-,136.500,599.974,3.437.553,6.551.868,2.250.489,12.976.384,,,136500.0,599974.0,3437553.0,6551868.0,2250489.0,12976384.0
