row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,10.472.079,9.622.605,6.907,1.978,455.774,364.218,-,-,10.934.760,9.988.801,10472079.0,9622605.0,6907.0,1978.0,455774.0,364218.0,,,10934760.0,9988801.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,10.329.794,9.448.623,-,-,12.225,10.279,-,-,10.342.019,9.458.902,10329794.0,9448623.0,,,12225.0,10279.0,,,10342019.0,9458902.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,142.285,173.982,6.907,1.978,-,-,-,-,149.192,175.960,142285.0,173982.0,6907.0,1978.0,,,,,149192.0,175960.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,443.549,353.939,-,-,443.549,353.939,,,,,443549.0,353939.0,,,443549.0,353939.0
II. Chi phí,II. Chi phí,II. Chi phí,(7.871.250),(7.353.848),-,-,(206.523),(181.363),(1.712.604),(1.305.809),(9.790.377),(8.841.020),-7871250.0,-7353848.0,,,-206523.0,-181363.0,-1712604.0,-1305809.0,-9790377.0,-8841020.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(7.836.442),(7.349.275),-,-,-,-,-,-,(7.836.442),(7.349.275),-7836442.0,-7349275.0,,,,,,,-7836442.0,-7349275.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,(41.168),(34.792),(41.168),(34.792),,,,,,,-41168.0,-34792.0,-41168.0,-34792.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(34.808),(4.573),-,-,(206.523),(181.363),(1.671.436),(1.271.017),(1.912.767),(1.456.953),-34808.0,-4573.0,,,-206523.0,-181363.0,-1671436.0,-1271017.0,-1912767.0,-1456953.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,2.600.829,2.268.757,6.907,1.978,249.251,182.855,(1.712.604),(1.305.809),1.144.383,1.147.781,2600829.0,2268757.0,6907.0,1978.0,249251.0,182855.0,-1712604.0,-1305809.0,1144383.0,1147781.0
(Chi phí)/Hoàn nhập dự phòng rủi ro,(Chi phí)/Hoàn nhập dự phòng rủi ro,(Chi phí)/Hoàn nhập dự phòng rủi ro,(112.384),(243.589),-,-,-,-,-,-,(112.384),(243.589),-112384.0,-243589.0,,,,,,,-112384.0,-243589.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.488.445,2.025.168,6.907,1.978,249.251,182.855,(1.712.604),(1.305.809),1.031.999,904.192,2488445.0,2025168.0,6907.0,1978.0,249251.0,182855.0,-1712604.0,-1305809.0,1031999.0,904192.0
