row_label_raw,row_label_full,col_0,Vốn góp/Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp/Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,7.531.355,7.398,564,470.634,215.056,811.514,9.036.521,7531355.0,7398.0,564.0,470634.0,215056.0,811514.0,9036521.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,602.508,-,-,72.376,36.187,826.981,1.538.052,602508.0,,,72376.0,36187.0,826981.0,1538052.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,602.508,-,-,-,-,-,602.508,602508.0,,,,,,602508.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,826.981,826.981,,,,,,826981.0,826981.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),-,-,-,72.376,36.187,-,108.563,,,,72376.0,36187.0,,108563.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,(794.302),(794.302),,,,,,-794302.0,-794302.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),Trích bổ sung các quỹ từ lợi nhuận năm trước (i),-,-,-,-,-,(191.794),(191.794),,,,,,-191794.0,-191794.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(602.508),(602.508),,,,,,-602508.0,-602508.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,8.133.863,7.398,564,543.010,251.243,844.193,9.780.271,8133863.0,7398.0,564.0,543010.0,251243.0,844193.0,9780271.0
