row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,5.764.346.182.239,6.212.774.452.581,200.0,,5764346182239.0,6212774452581.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,555.000.000,750.000.000,210.0,,555000000.0,750000000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,8,555.000.000,750.000.000,216.0,8.0,555000000.0,750000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,4.697.610.771.661,5.212.153.782.876,220.0,,4697610771661.0,5212153782876.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,3.893.773.706.877,4.407.592.731.819,221.0,12.0,3893773706877.0,4407592731819.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,11.442.458.561.333,11.469.498.646.708,222.0,,11442458561333.0,11469498646708.0
- Giá trị hao mòn lũy kẽ,- Giá trị hao mòn lũy kẽ,- Giá trị hao mòn lũy kẽ,223,,(7.548.684.854.456),(7.061.905.914.889),223.0,,-7548684854456.0,-7061905914889.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,803.837.064.784,804.561.051.057,227.0,13.0,803837064784.0,804561051057.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,1.091.715.796.418,1.078.529.642.772,228.0,,1091715796418.0,1078529642772.0
- Giá trị hao mòn lũy kẽ,- Giá trị hao mòn lũy kẽ,- Giá trị hao mòn lũy kẽ,229,,(287.878.731.634),(273.968.591.715),229.0,,-287878731634.0,-273968591715.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,14,239.820.697.731,250.383.262.298,230.0,14.0,239820697731.0,250383262298.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,334.556.867.544,334.556.867.544,231.0,,334556867544.0,334556867544.0
- Giá trị hao mòn lũy kẽ,- Giá trị hao mòn lũy kẽ,- Giá trị hao mòn lũy kẽ,232,,(94.736.169.813),(84.173.605.246),232.0,,-94736169813.0,-84173605246.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,148.059.898.207,136.402.931.745,240.0,,148059898207.0,136402931745.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,15,148.059.898.207,136.402.931.745,242.0,15.0,148059898207.0,136402931745.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,5,422.848.669.499,422.717.708.736,250.0,5.0,422848669499.0,422717708736.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,386.250.000.000,386.250.000.000,251.0,,386250000000.0,386250000000.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,680.903.000.000,680.903.000.000,252.0,,680903000000.0,680903000000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,20.502.000.000,20.502.000.000,253.0,,20502000000.0,20502000000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(664.806.330.501),(664.937.291.264),254.0,,-664806330501.0,-664937291264.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,255.451.145.141,190.366.766.926,260.0,,255451145141.0,190366766926.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,20.955.190.078,9.041.899.262,261.0,11.0,20955190078.0,9041899262.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,16,72.712.748.510,59.225.661.902,262.0,16.0,72712748510.0,59225661902.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,10,148.991.115.516,109.307.114.725,263.0,10.0,148991115516.0,109307114725.0
4. Tài sản dài hạn khác,4. Tài sản dài hạn khác,4. Tài sản dài hạn khác,268,,12.792.091.037,12.792.091.037,268.0,,12792091037.0,12792091037.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,11.120.190.645.748,10.767.063.264.583,270.0,,11120190645748.0,10767063264583.0
