row_label_raw,row_label_full,Chi tiêu,Biến động trong năm > Số đầu nămVND,Biến động trong năm > Phát sinh tăngVND,Biến động trong năm > Phát sinh giảmVND,Biến động trong năm > Số cuối nămVND,numeric__Biến động trong năm > Số đầu nămVND,numeric__Biến động trong năm > Phát sinh tăngVND,numeric__Biến động trong năm > Phát sinh giảmVND,numeric__Biến động trong năm > Số cuối nămVND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.432.710.998,1.684.975.381,1.432.710.998,1.684.975.381,1432710998.0,1684975381.0,1432710998.0,1684975381.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,4.585.529.772,1.684.975.381,1.432.710.998,4.837.794.155,4585529772.0,1684975381.0,1432710998.0,4837794155.0
Chi tiêu,Chi tiêu,Chi tiêu,Biến động trong năm,Biến động trong năm,Biến động trong năm,Biến động trong năm,,,,
Chi tiêu,Chi tiêu,Chi tiêu,Số đầu nămVND,Số phải nộpVND,Số đã nộpVND,Số cuối nămVND,,,,
b) Các khoản phải nộp,b) Các khoản phải nộp,b) Các khoản phải nộp,,,,,,,,
Thuế GTGT hàng bán nội địa,b) Các khoản phải nộp > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,3.149.708.724,23.434.862.067,25.089.376.159,1.495.194.632,3149708724.0,23434862067.0,25089376159.0,1495194632.0
Thuế GTGT hàng nhập khẩu,b) Các khoản phải nộp > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,7.068.529.971,7.068.529.971,-,,7068529971.0,7068529971.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,8.827.272.072,8.827.272.072,-,,8827272072.0,8827272072.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,11.959.435.855,78.592.670.064,34.430.166.949,56.121.938.970,11959435855.0,78592670064.0,34430166949.0,56121938970.0
Thuế thu nhập cá nhân,b) Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,325.026.989,26.127.907.475,25.686.925.328,766.009.136,325026989.0,26127907475.0,25686925328.0,766009136.0
Thuế tài nguyên,b) Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,262.162.560,2.592.925.440,2.612.864.640,242.223.360,262162560.0,2592925440.0,2612864640.0,242223360.0
Thuế bào vệ môi trường,b) Các khoản phải nộp > Thuế bào vệ môi trường,Thuế bào vệ môi trường,14.428.240,1.315.343.900,852.326.340,477.445.800,14428240.0,1315343900.0,852326340.0,477445800.0
Thuế nhà đất,b) Các khoản phải nộp > Thuế nhà đất,Thuế nhà đất,-,1.228.801.377,1.228.801.377,-,,1228801377.0,1228801377.0,
Thuế môn bài,b) Các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,6.000.000,6.000.000,-,,6000000.0,6000000.0,
Thuế nhà thầu nước ngoài,b) Các khoản phải nộp > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,755.139.615,755.139.615,-,,755139615.0,755139615.0,
Các loại thuế khác,b) Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,98.916.250,98.916.250,-,,98916250.0,98916250.0,
Cộng,b) Các khoản phải nộp > Cộng,Cộng,15.710.762.368,150.048.368.231,106.656.318.701,59.102.811.898,15710762368.0,150048368231.0,106656318701.0,59102811898.0
