row_label_raw,row_label_full,col_0,Số cuối năm > VNDGiá gốc,Số cuối năm > VNDGiá trị có thể thu hồi,Số cuối năm > Thời gian quá hạn,Số đầu năm > VNDGiá gốc,Số đầu năm > VNDGiá trị có thể thu hồi,Số đầu năm > Thời gian quá hạn,numeric__Số cuối năm > VNDGiá gốc,numeric__Số cuối năm > VNDGiá trị có thể thu hồi,numeric__Số cuối năm > Thời gian quá hạn,numeric__Số đầu năm > VNDGiá gốc,numeric__Số đầu năm > VNDGiá trị có thể thu hồi,numeric__Số đầu năm > Thời gian quá hạn
Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,234.001.401.937,424.979.278,,234.001.401.937,424.979.278,,234001401937.0,424979278.0,,234001401937.0,424979278.0,
Công ty Cổ phần Dầu tư Tài chính Công đoàn Dầu khí Việt Nam (i),Công ty Cổ phần Dầu tư Tài chính Công đoàn Dầu khí Việt Nam (i),Công ty Cổ phần Dầu tư Tài chính Công đoàn Dầu khí Việt Nam (i),110.143.267.289,-,Trên 3 năm,110.143.267.289,-,Trên 3 năm,110143267289.0,,,110143267289.0,,
Công ty TNHH Thương mại Sản xuất Ngọc Lan (ii),Công ty TNHH Thương mại Sản xuất Ngọc Lan (ii),Công ty TNHH Thương mại Sản xuất Ngọc Lan (ii),9.153.800.000,-,Trên 3 nămTừ 6 tháng,9.153.800.000,-,Trên 3 nămTừ 6 tháng,9153800000.0,,,9153800000.0,,
Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dâu và Xơ sợi Dầu khí,114.704.334.648,424.979.278,đến trên 3 năm,114.704.334.648,424.979.278,đến trên 3 năm,114704334648.0,424979278.0,,114704334648.0,424979278.0,
- Phải thu liên quan đến bảo lãnh đối ứng (iii),- Phải thu liên quan đến bảo lãnh đối ứng (iii),- Phải thu liên quan đến bảo lãnh đối ứng (iii),107.786.937.303,,,107.786.937.303,-,,107786937303.0,,,107786937303.0,,
- Phải thu khác,- Phải thu khác,- Phải thu khác,6.917.397.345,424.979.278,,6.917.397.345,424.979.278,,6917397345.0,424979278.0,,6917397345.0,424979278.0,
