row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,435.535.527.087,863.151.432.343,1.0,,435535527087.0,863151432343.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
Khẩu hao tài sản cố định và bất động sản đầu tư,2. Điều chỉnh cho các khoản: > Khẩu hao tài sản cố định và bất động sản đầu tư,Khẩu hao tài sản cố định và bất động sản đầu tư,02,,549.028.815.745,502.685.512.656,2.0,,549028815745.0,502685512656.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,160.427.465.624,34.546.827.364,3.0,,160427465624.0,34546827364.0
(Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > (Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,(Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,,(764.976.791),8.152.694.428,4.0,,-764976791.0,8152694428.0
(Lãi) từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,,(162.176.922.519),(152.993.199.573),5.0,,-162176922519.0,-152993199573.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,,106.308.792.980,62.465.039.341,6.0,,106308792980.0,62465039341.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,1.088.358.702.126,1.318.008.306.559,8.0,,1088358702126.0,1318008306559.0
"Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,,350.450.877.151,(353.810.332.836),9.0,,350450877151.0,-353810332836.0
"Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản: > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,163.527.859.317,(307.112.377.514),10.0,,163527859317.0,-307112377514.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,308.483.782.180,68.439.005.204,11.0,,308483782180.0,68439005204.0
"Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản: > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,,12.091.804.164,(33.830.057.872),12.0,,12091804164.0,-33830057872.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(54.345.835.248),-,14.0,,-54345835248.0,
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(34.430.166.949),(129.868.403.160),15.0,,-34430166949.0,-129868403160.0
