row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.258.085.046.457,8.235.504.694.455,55.730.441.847,282.737.267.645,637.441.196.304,11.469.498.646.708,2258085046457.0,8235504694455.0,55730441847.0,282737267645.0,637441196304.0,11469498646708.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,3.685.527.152,-,12.511.303.205,-,16.196.830.357,,3685527152.0,,12511303205.0,,16196830357.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(41.887.579.808),(1.115.309.709),-,(234.026.215),-,(43.236.915.732),-41887579808.0,-1115309709.0,,-234026215.0,,-43236915732.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,142.090.910,-,(142.090.910),-,-,,142090910.0,,-142090910.0,,
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.216.197.466.649,8.238.217.002.808,55.730.441.847,294.872.453.725,637.441.196.304,11.442.458.561.333,2216197466649.0,8238217002808.0,55730441847.0,294872453725.0,637441196304.0,11442458561333.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.081.989.732.317,5.643.351.743.962,52.500.454.432,183.331.394.060,100.732.590.118,7.061.905.914.889,1081989732317.0,5643351743962.0,52500454432.0,183331394060.0,100732590118.0,7061905914889.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,128.166.421.727,266.252.220.864,885.233.761,34.005.648.858,95.246.586.049,524.556.111.259,128166421727.0,266252220864.0,885233761.0,34005648858.0,95246586049.0,524556111259.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(36.427.835.768),(1.115.309.709),-,(234.026.215),-,(37.777.171.692),-36427835768.0,-1115309709.0,,-234026215.0,,-37777171692.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,1.340.663,-,(1.340.663),-,-,,1340663.0,,-1340663.0,,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.173.728.318.276,5.908.489.995.780,53.385.688.193,217.101.676.040,195.979.176.167,7.548.684.854.456,1173728318276.0,5908489995780.0,53385688193.0,217101676040.0,195979176167.0,7548684854456.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.042.469.148.373,2.329.727.007.028,2.344.753.654,77.770.777.685,441.462.020.137,3.893.773.706.877,1042469148373.0,2329727007028.0,2344753654.0,77770777685.0,441462020137.0,3893773706877.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.176.095.314.140,2.592.152.950.493,3.229.987.415,99.405.873.585,536.708.606.186,4.407.592.731.819,1176095314140.0,2592152950493.0,3229987415.0,99405873585.0,536708606186.0,4407592731819.0
