row_label_raw,row_label_full,col_0,Năm nay > Số năm,Năm trước > Số năm,numeric__Năm nay > Số năm,numeric__Năm trước > Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",5 - 25,10 - 25,,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",3 - 15,3 - 6,,
Phương tiện vận tải,"Máy móc, thiết bị > Phương tiện vận tải",Phương tiện vận tải,6 - 10,6,,6.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 8,3 - 5,,
Khác,Thiết bị văn phòng > Khác,Khác,3 - 15,3,,3.0
