row_label_raw,row_label_full,Name,Position,Year 2024 > VND,Year 2023 > VND,numeric__Position,numeric__Year 2024 > VND,numeric__Year 2023 > VND
Board of Directors and Board of Management,Board of Directors and Board of Management,Board of Directors and Board of Management,Board of Directors and Board of Management,"1,759,895,527","3,518,849,463",,,
Mr. Nguyen Khai Hoan,Mr. Nguyen Khai Hoan,Mr. Nguyen Khai Hoan,Chairman,"240,000,000","240,000,000",,,
Mrs. Dinh Thi Nhat Hanh,Mrs. Dinh Thi Nhat Hanh,Mrs. Dinh Thi Nhat Hanh,"Vice chairwoman, Chief Executive Officer","583,300,000","604,800,000",,,
Mr. Vo Cong Son,Mr. Vo Cong Son,Mr. Vo Cong Son,Member (resigned on 15 September 2023),-,"562,300,000",,,
Mr. Phung Quang Hai,Mr. Phung Quang Hai,Mr. Phung Quang Hai,Member (resigned on 15 April 2024); Deputy Chief Executive Officer (resigned on 15 March 2024),"145,323,810","656,000,000",,,
Ms. Pham Thi Minh Phu,Ms. Pham Thi Minh Phu,Ms. Pham Thi Minh Phu,"Member, Deputy Chief Executive Officer","486,121,717","547,038,431",,,
Mr. Tran Manh Toan,Mr. Tran Manh Toan,Mr. Tran Manh Toan,Independent member,"120,000,000","120,000,000",,,
Mrs. Pham Thi Hoa,Mrs. Pham Thi Hoa,Mrs. Pham Thi Hoa,Independent member,"120,000,000","120,000,000",,,
Mr. Tran Van Thanh,Mr. Tran Van Thanh,Mr. Tran Van Thanh,Deputy Chief Executive Officer (resigned on 18 January 2023),-,"128,730,000",,,
Mrs. Le Thi Nhu Ca,Mrs. Le Thi Nhu Ca,Mrs. Le Thi Nhu Ca,Deputy Chief Executive Officer (Resigned on 28 April 2023),-,"325,541,075",,,
Mrs. Duong Thanh,Mrs. Duong Thanh,Mrs. Duong Thanh,Deputy Chief Executive Officer (Resigned on 16 March 2023),-,"214,439,957",,,
Mr. Tran Van Duong,Mr. Tran Van Duong,Mr. Tran Van Duong,Deputy Chief Executive Officer (Appointed on 16 December 2024),"65,150,000",-,,,
Supervisory Board,Supervisory Board,Supervisory Board,Supervisory Board,"512,013,900","623,352,048",,,
Mr. Hoang Phuong,Mr. Hoang Phuong,Mr. Hoang Phuong,Head of Supervisory Board,"96,000,000","96,000,000",,,
Ms. Nguyen Thu Trang,Ms. Nguyen Thu Trang,Ms. Nguyen Thu Trang,Member,"323,513,900","266,700,000",,,
Mr. Le Van Kieu,Mr. Le Van Kieu,Mr. Le Van Kieu,Member (Appointed on 15 April 2024),"42,500,000",-,,,
Mr. Nguyen Minh Hieu,Mr. Nguyen Minh Hieu,Mr. Nguyen Minh Hieu,Member (Resigned on 15 April 2024),"50,000,000","260,652,048",,,
Total,Total,Total,Total,"2,271,909,427","4,142,201,511",,,
