row_label_raw,row_label_full,col_0,Phân mêmkế toán,Cộng,numeric__Phân mêmkế toán,numeric__Cộng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2024,NGUYÊN GIÁ > Tại ngày 01/01/2024,Tại ngày 01/01/2024,575.365.500,575.365.500,575365500.0,575365500.0
Tại ngày 31/12/2024,NGUYÊN GIÁ > Tại ngày 31/12/2024,Tại ngày 31/12/2024,575.365.500,575.365.500,575365500.0,575365500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2024,Tại ngày 01/01/2024,373.850.348,373.850.348,373850348.0,373850348.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,136.800.000,136.800.000,136800000.0,136800000.0
Tại ngày 31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2024,Tại ngày 31/12/2024,510.650.348,510.650.348,510650348.0,510650348.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2024,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2024,Tại ngày 01/01/2024,201.515.152,201.515.152,201515152.0,201515152.0
Tại ngày 31/12/2024,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2024,Tại ngày 31/12/2024,64.715.152,64.715.152,64715152.0,64715152.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,301.765.500,301.765.500,301765500.0,301765500.0
