row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 01/01/2024 > Giá trị,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 01/01/2024 > Số có khả năng trả nợ,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > Trong năm > Tăng,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > Trong năm > Giảm,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 31/12/2024 > Giá trị,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 31/12/2024 > Số có khả năng trả nợ,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 01/01/2024 > Giá trị,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 01/01/2024 > Số có khả năng trả nợ,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > Trong năm > Tăng,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > Trong năm > Giảm,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 31/12/2024 > Giá trị,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo lãi chính kem theo > 31/12/2024 > Số có khả năng trả nợ
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,165.000.000.000,165.000.000.000,92.788.000.000,55.231.293.496,202.556.706.504,202.556.706.504,,165000000000.0,165000000000.0,92788000000.0,55231293496.0,202556706504.0,202556706504.0
Ngân hàng TMCP Sài Gòn - Hà Nội - CN Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - CN Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - CN Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - CN Đông Đô,165.000.000.000,165.000.000.000,-,47.231.293.496,117.768.706.504,117.768.706.504,,165000000000.0,165000000000.0,,47231293496.0,117768706504.0,117768706504.0
Vay cá nhân,Vay cá nhân,Vay cá nhân,Vay cá nhân,-,-,92.788.000.000,8.000.000.000,84.788.000.000,84.788.000.000,,,,92788000000.0,8000000000.0,84788000000.0,84788000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,-,-,100.457.000.000,-,100.457.000.000,100.457.000.000,,,,100457000000.0,,100457000000.0,100457000000.0
Vay cá nhân,Vay cá nhân,Vay cá nhân,Vay cá nhân,-,-,100.457.000.000,-,100.457.000.000,100.457.000.000,,,,100457000000.0,,100457000000.0,100457000000.0
Cộng,Cộng,Cộng,Cộng,165.000.000.000,165.000.000.000,193.245.000.000,55.231.293.496,303.013.706.504,303.013.706.504,,165000000000.0,165000000000.0,193245000000.0,55231293496.0,303013706504.0,303013706504.0
Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,Chi tiết các hợp đồng vay ngắn hạn,,,,,,,
Hợp đồng,Hợp đồng,Hợp đồng,Hạn mức,Số dư 31/12/2024,Thời hạn và mục đích vay,Thời hạn và mục đích vay,Tài sản đảm bảo,Tài sản đảm bảo,Tài sản đảm bảo,,,,,,,
Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,Ngân hàng TMCP Sài Gòn - Hà Nội - Chi nhánh Đông Đô,,,,,,,
Số 01.069/2022/HĐTD-NH-PN/SHB.111400 ngày 23/2/2022 và các phụ lục hợp đồng,Số 01.069/2022/HĐTD-NH-PN/SHB.111400 ngày 23/2/2022 và các phụ lục hợp đồng,Số 01.069/2022/HĐTD-NH-PN/SHB.111400 ngày 23/2/2022 và các phụ lục hợp đồng,"302,4 tỷ đồng",40.068.706.504 đồng,- Thời hạn vay: 24 tháng kể từ ngày giải ngân- Mục đích 1: Vay để ký quỹ hợp đồng môi giới BĐS dự án Phó Nói- Mục đích 2: Vay để mua sĩ dự án- Mục đích 3: Vay để đảm bảo doanh thu tối thiểu theo hợp đồng môi giới,- Thời hạn vay: 24 tháng kể từ ngày giải ngân- Mục đích 1: Vay để ký quỹ hợp đồng môi giới BĐS dự án Phó Nói- Mục đích 2: Vay để mua sĩ dự án- Mục đích 3: Vay để đảm bảo doanh thu tối thiểu theo hợp đồng môi giới,- TSĐB mục đích 1 là 28 BDS tại dự án T&T Phó Nói theo hợp đồng thể chấp quyền sử dụng đất số 01.069/2022/HĐTC-PN/SHB.111400 ngày 23/02/2022; - TSĐB mục đích 2 là toàn bộ sản phẩm dự kiến mua sĩ; - TSĐB mục đích 3 phần còn dư của 28 bất động sản đảm bảo mục đích 1 và các tài sản bổ sung khác nếu được chấp thuận,- TSĐB mục đích 1 là 28 BDS tại dự án T&T Phó Nói theo hợp đồng thể chấp quyền sử dụng đất số 01.069/2022/HĐTC-PN/SHB.111400 ngày 23/02/2022; - TSĐB mục đích 2 là toàn bộ sản phẩm dự kiến mua sĩ; - TSĐB mục đích 3 phần còn dư của 28 bất động sản đảm bảo mục đích 1 và các tài sản bổ sung khác nếu được chấp thuận,- TSĐB mục đích 1 là 28 BDS tại dự án T&T Phó Nói theo hợp đồng thể chấp quyền sử dụng đất số 01.069/2022/HĐTC-PN/SHB.111400 ngày 23/02/2022; - TSĐB mục đích 2 là toàn bộ sản phẩm dự kiến mua sĩ; - TSĐB mục đích 3 phần còn dư của 28 bất động sản đảm bảo mục đích 1 và các tài sản bổ sung khác nếu được chấp thuận,,,,,,,
