row_label_raw,row_label_full,ITEMS,Codes,Notes,Year 2024,Year 2023,numeric__Codes,numeric__Notes,numeric__Year 2024,numeric__Year 2023
1. Revenue from goods sold and services rendered,1. Revenue from goods sold and services rendered,1. Revenue from goods sold and services rendered,01,21,"309,842,135,613","404,320,394,132",1.0,21.0,,
2. Revenue deductions,2. Revenue deductions,2. Revenue deductions,02,21,-,"73,790,046,052",2.0,21.0,,
3. Net revenue from goods sold and services rendered,3. Net revenue from goods sold and services rendered,3. Net revenue from goods sold and services rendered,10,21,"309,842,135,613","330,530,348,080",10.0,21.0,,
4. Cost of goods sold and services rendered,4. Cost of goods sold and services rendered,4. Cost of goods sold and services rendered,11,22,"264,434,263,115","302,805,422,660",11.0,22.0,,
5. Gross profit from goods sold and services rendered,5. Gross profit from goods sold and services rendered,5. Gross profit from goods sold and services rendered,20,,"45,407,872,498","27,724,925,420",20.0,,,
6. Financial income,6. Financial income,6. Financial income,21,23,"252,527,065,396","282,811,116,670",21.0,23.0,,
7. Financial expenses,7. Financial expenses,7. Financial expenses,22,24,"133,834,374,116","122,794,030,811",22.0,24.0,,
- In which: Interest expense,- In which: Interest expense,- In which: Interest expense,23,,"120,136,402,415","116,785,060,087",23.0,,,
8. Selling expenses,8. Selling expenses,8. Selling expenses,25,25,"53,656,506,562","120,043,377,943",25.0,25.0,,
9. General and administrative expenses,9. General and administrative expenses,9. General and administrative expenses,26,26,"32,421,515,923","32,424,117,556",26.0,26.0,,
10. Operating profit,10. Operating profit,10. Operating profit,30,,"78,022,541,293","35,274,515,780",30.0,,,
11. Other income,11. Other income,11. Other income,31,27,"2,792,247,381","1,958,453,318",31.0,27.0,,
12. Other expenses,12. Other expenses,12. Other expenses,32,28,"10,692,137,409","3,024,748,367",32.0,28.0,,
13. Profit from other activities,13. Profit from other activities,13. Profit from other activities,40,,"(7,899,890,028)","(1,066,295,049)",40.0,,,
14. Accounting profit before tax,14. Accounting profit before tax,14. Accounting profit before tax,50,,"70,122,651,265","34,208,220,731",50.0,,,
15. Current corporate income tax expense,15. Current corporate income tax expense,15. Current corporate income tax expense,51,30,"15,496,397,241","8,847,081,478",51.0,30.0,,
16. Deferred corporate tax expense,16. Deferred corporate tax expense,16. Deferred corporate tax expense,52,,-,-,52.0,,,
17. Net profit after corporate income tax,17. Net profit after corporate income tax,17. Net profit after corporate income tax,60,,"54,626,254,024","25,361,139,253",60.0,,,
18. Net profit after tax of the parent company,18. Net profit after tax of the parent company,18. Net profit after tax of the parent company,61,,"54,626,254,024","25,361,139,253",61.0,,,
19. Net profit after tax of non-controlling interests,19. Net profit after tax of non-controlling interests,19. Net profit after tax of non-controlling interests,62,,-,-,62.0,,,
20. Earnings per share,20. Earnings per share,20. Earnings per share,70,31,122,56,70.0,31.0,122.0,56.0
