row_label_raw,row_label_full,Company name,Place of incorporation,Owned %,Voting right,Main activities,numeric__Place of incorporation,numeric__Owned %,numeric__Voting right,numeric__Main activities
"An Pha Real Estate Development Investment Co., Ltd","An Pha Real Estate Development Investment Co., Ltd","An Pha Real Estate Development Investment Co., Ltd",HCM City,100%,100%,Real estate brokerage and business,,1.0,1.0,
"An Thinh Phat Real Estate Business Investment Co., Ltd.","An Thinh Phat Real Estate Business Investment Co., Ltd.","An Thinh Phat Real Estate Business Investment Co., Ltd.",HCM City,100%,100%,Real estate brokerage and business,,1.0,1.0,
