row_label_raw,row_label_full,CHI TIEU,Mã số,Thuyết minh,31/12/2024,01/01/2024,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024,numeric__01/01/2024
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,1.726.212.405.239,1.860.333.161.277,100.0,,1726212405239.0,1860333161277.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,106.983.017.179,50.142.629.742,110.0,,106983017179.0,50142629742.0
1. Tiền,1. Tiền,1. Tiền,111,5,106.983.017.179,50.142.629.742,111.0,5.0,106983017179.0,50142629742.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,21.143.123.288,20.000.000.000,120.0,,21143123288.0,20000000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,6,21.143.123.288,20.000.000.000,123.0,6.0,21143123288.0,20000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.456.619.834.453,1.552.744.070.102,130.0,,1456619834453.0,1552744070102.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,202.613.227.368,242.599.494.181,131.0,7.0,202613227368.0,242599494181.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,8,297.975.537.324,301.336.210.931,132.0,8.0,297975537324.0,301336210931.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,956.031.069.761,1.008.808.364.990,136.0,9.0,956031069761.0,1008808364990.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,124.917.035.965,210.627.541.427,140.0,10.0,124917035965.0,210627541427.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,124.917.035.965,210.627.541.427,141.0,,124917035965.0,210627541427.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,16.549.394.354,26.818.920.006,150.0,,16549394354.0,26818920006.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,6.014.859.094,1.554.472.931,151.0,11.0,6014859094.0,1554472931.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,9.322.959.640,25.264.447.075,152.0,,9322959640.0,25264447075.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,16,1.211.575.620,-,153.0,16.0,1211575620.0,
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,4.864.973.979.460,4.530.401.248.430,200.0,,4864973979460.0,4530401248430.0
