row_label_raw,row_label_full,cui tiêu,Ma số,Thuyết minh,Năm 2021,Năm 2022,numeric__Ma số,numeric__Thuyết minh,numeric__Năm 2021,numeric__Năm 2022
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,309.842.135.613,404.320.394.132,1.0,,309842135613.0,404320394132.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,73.790.046.052,2.0,,,73790046052.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,21,309.842.135.613,330.530.348.080,10.0,21.0,309842135613.0,330530348080.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,22,264.434.263.115,302.805.422.660,11.0,22.0,264434263115.0,302805422660.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,45.407.872.498,27.724.925.420,20.0,,45407872498.0,27724925420.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,23,252.527.065.396,282.811.116.670,21.0,23.0,252527065396.0,282811116670.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,24,133.834.374.116,122.794.030.811,22.0,24.0,133834374116.0,122794030811.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,120.136.402.415,116.785.060.087,23.0,,120136402415.0,116785060087.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,25,53.656.506.562,120.043.377.943,25.0,25.0,53656506562.0,120043377943.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,26,32.421.515.923,32.424.117.556,26.0,26.0,32421515923.0,32424117556.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,78.022.541.293,35.274.515.780,30.0,,78022541293.0,35274515780.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,27,2.792.247.381,1.958.453.318,31.0,27.0,2792247381.0,1958453318.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,28,10.692.137.409,3.024.748.367,32.0,28.0,10692137409.0,3024748367.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,(7.899.890.028),(1.066.295.049),40.0,,-7899890028.0,-1066295049.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,70.122.651.265,34.208.220.731,50.0,,70122651265.0,34208220731.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,30,15.496.397.241,8.847.081.478,51.0,30.0,15496397241.0,8847081478.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,54.626.254.024,25.361.139.253,60.0,,54626254024.0,25361139253.0
18. Lợi nhuận sau thuế của công ty mẹ,18. Lợi nhuận sau thuế của công ty mẹ,18. Lợi nhuận sau thuế của công ty mẹ,61,,54.626.254.024,25.361.139.253,61.0,,54626254024.0,25361139253.0
19. Lợi nhuận sau thuế của cổ đông không kiểm soát,19. Lợi nhuận sau thuế của cổ đông không kiểm soát,19. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,-,-,62.0,,,
20. Lãi cơ bản trên cổ phiếu,20. Lãi cơ bản trên cổ phiếu,20. Lãi cơ bản trên cổ phiếu,70,31,122,56,70.0,31.0,122.0,56.0
