row_label_raw,row_label_full,Mr. Hoang Phuong,Head of Supervisory Board,numeric__Head of Supervisory Board
Mrs. Nguyen Thu Trang,Mrs. Nguyen Thu Trang,Mrs. Nguyen Thu Trang,Member,
Mr. Le Van Kieu,Mr. Le Van Kieu,Mr. Le Van Kieu,Member (Appointed on 15 April 2024),
Mr. Nguyen Minh Hieu,Mr. Nguyen Minh Hieu,Mr. Nguyen Minh Hieu,Member (Resigned on 15 April 2024),
