row_label_raw,row_label_full,ITEMS,Codes,Notes,31/12/2024,01/01/2024,numeric__Codes,numeric__Notes,numeric__31/12/2024,numeric__01/01/2024
A - CURRENT ASSETS,A - CURRENT ASSETS,A - CURRENT ASSETS,100,,"1,726,212,405,239","1,860,333,161,277",100.0,,,
I. Cash and cash equivalents,I. Cash and cash equivalents,I. Cash and cash equivalents,110,,"106,983,017,179","50,142,629,742",110.0,,,
1. Cash,1. Cash,1. Cash,111,5,"106,983,017,179","50,142,629,742",111.0,5.0,,
II. Short-term financial investments,II. Short-term financial investments,II. Short-term financial investments,120,,"21,143,123,288","20,000,000,000",120.0,,,
1. Invesments held to maturity,1. Invesments held to maturity,1. Invesments held to maturity,123,6,"21,143,123,288","20,000,000,000",123.0,6.0,,
III. Short-term receivables,III. Short-term receivables,III. Short-term receivables,130,,"1,456,619,834,453","1,552,744,070,102",130.0,,,
1. Short-term trade receivables,1. Short-term trade receivables,1. Short-term trade receivables,131,7,"202,613,227,368","242,599,494,181",131.0,7.0,,
2. Short-term prepayments to suppliers,2. Short-term prepayments to suppliers,2. Short-term prepayments to suppliers,132,8,"297,975,537,324","301,336,210,931",132.0,8.0,,
3. Other short-term receivables,3. Other short-term receivables,3. Other short-term receivables,136,9,"956,031,069,761","1,008,808,364,990",136.0,9.0,,
IV. Inventories,IV. Inventories,IV. Inventories,140,10,"124,917,035,965","210,627,541,427",140.0,10.0,,
1. Inventories,1. Inventories,1. Inventories,141,,"124,917,035,965","210,627,541,427",141.0,,,
V. Other short-term assets,V. Other short-term assets,V. Other short-term assets,150,,"16,549,394,354","26,818,920,006",150.0,,,
1. Short-term prepaid expenses,1. Short-term prepaid expenses,1. Short-term prepaid expenses,151,11,"6,014,859,094","1,554,472,931",151.0,11.0,,
2. Value added tax deductibles,2. Value added tax deductibles,2. Value added tax deductibles,152,,"9,322,959,640","25,264,447,075",152.0,,,
3. Taxes and other receivables from the State budget,3. Taxes and other receivables from the State budget,3. Taxes and other receivables from the State budget,153,16,"1,211,575,620",-,153.0,16.0,,
B - NON-CURRENT ASSETS,B - NON-CURRENT ASSETS,B - NON-CURRENT ASSETS,200,,"4,864,973,979,460","4,530,401,248,430",200.0,,,
I. Long-term receivables,I. Long-term receivables,I. Long-term receivables,210,,"4,601,866,329,350","4,288,313,723,310",210.0,,,
1. Long-term loans receivables,1. Long-term loans receivables,1. Long-term loans receivables,215,,-,"490,000,000,000",215.0,,,
2. Other long-term receivables,2. Other long-term receivables,2. Other long-term receivables,216,9,"4,601,866,329,350","3,798,313,723,310",216.0,9.0,,
II. Fixed Assets,II. Fixed Assets,II. Fixed Assets,220,,"556,263,875","648,970,737",220.0,,,
1. Tangible fixed assets,1. Tangible fixed assets,1. Tangible fixed assets,221,12,"491,548,723","447,455,585",221.0,12.0,,
- Cost,- Cost,- Cost,222,,"4,550,328,026","4,098,015,063",222.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,223,,"(4,058,779,303)","(3,650,559,478)",223.0,,,
2. Intangible assets,2. Intangible assets,2. Intangible assets,227,13,"64,715,152","201,515,152",227.0,13.0,,
- Cost,- Cost,- Cost,228,,"575,365,500","575,365,500",228.0,,,
- Accumulated amortisation,- Accumulated amortisation,- Accumulated amortisation,229,,"(510,650,348)","(373,850,348)",229.0,,,
III. Long-term assets in progress,III. Long-term assets in progress,III. Long-term assets in progress,240,,"215,065,483,849","212,821,780,144",240.0,,,
1. Long-term work in progress,1. Long-term work in progress,1. Long-term work in progress,241,,"2,115,483,849","821,780,144",241.0,,,
2. Construction in progress,2. Construction in progress,2. Construction in progress,242,14,"212,950,000,000","212,000,000,000",242.0,14.0,,
IV. Other long-term assets,IV. Other long-term assets,IV. Other long-term assets,260,,"47,485,902,386","28,616,774,239",260.0,,,
1. Long-term prepaid expenses,1. Long-term prepaid expenses,1. Long-term prepaid expenses,261,11,"47,485,902,386","28,616,774,239",261.0,11.0,,
TOTAL ASSETS,TOTAL ASSETS,TOTAL ASSETS,270,,"6,591,186,384,699","6,390,734,409,707",270.0,,,
