row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Tỷ lệ sở hữu,01/01/2024 > Giá trị,01/01/2024 > Tỷ lệ sở hữu,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Tỷ lệ sở hữu,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Tỷ lệ sở hữu
,,,VND,VND,VND,VND,,,,
Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,Ông Nguyễn Khải Hoàn,1.436.640.000.000,"31,97%",1.436.640.000.000,"31,97%",1436640000000.0,0.3197,1436640000000.0,0.3197
Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,Bà Trần Thị Thu Hương,580.843.000.000,"12,92%",570.843.000.000,"12,70%",580843000000.0,0.1292,570843000000.0,0.127
Cổ đông khác,Cổ đông khác,Cổ đông khác,2.476.869.050.000,"55,11%",2.486.869.050.000,"55,33%",2476869050000.0,0.5511,2486869050000.0,0.5533
Cộng,Cộng,Cộng,4.494.352.050.000,100%,4.494.352.050.000,100%,4494352050000.0,1.0,4494352050000.0,1.0
