row_label_raw,row_label_full,col_0,Office equipments,Total,numeric__Office equipments,numeric__Total
,,,VND,VND,,
COST,COST,COST,COST,COST,,
As at 01/01/2024,As at 01/01/2024,As at 01/01/2024,"4,098,015,063","4,098,015,063",,
Purchases,Purchases,Purchases,"452,312,963","452,312,963",,
As at 31/12/2024,As at 31/12/2024,As at 31/12/2024,"4,550,328,026","4,550,328,026",,
ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,,
As at 01/01/2024,As at 01/01/2024,As at 01/01/2024,"3,650,559,478","3,650,559,478",,
Charged for the year,Charged for the year,Charged for the year,"408,219,825","408,219,825",,
As at 31/12/2024,As at 31/12/2024,As at 31/12/2024,"4,058,779,303","4,058,779,303",,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,
As at 01/01/2024,As at 01/01/2024,As at 01/01/2024,"447,455,585","447,455,585",,
As at 31/12/2024,As at 31/12/2024,As at 31/12/2024,"491,548,723","491,548,723",,
Cost of tangible fixed assets fully depreciated but still in use,Cost of tangible fixed assets fully depreciated but still in use,Cost of tangible fixed assets fully depreciated but still in use,"2,985,914,820","2,985,914,820",,
