row_label_raw,row_label_full,col_0,01/01/2024,Payable during the year,Paid during the year,31/12/2024,numeric__01/01/2024,numeric__Payable during the year,numeric__Paid during the year,numeric__31/12/2024
,,,VND,VND,VND,VND,,,,
Value added tax,Value added tax,Value added tax,"19,576,788,863",-,"20,788,364,483","(1,211,575,620)",,,,
Corporate income tax,Corporate income tax,Corporate income tax,"2,793,091,325","15,496,397,241","5,512,125,491","12,777,363,075",,,,
Personal income tax,Personal income tax,Personal income tax,"3,337,217,520","13,169,735,820","12,873,182,514","3,633,770,826",,,,
Other taxes and fees,Other taxes and fees,Other taxes and fees,-,"6,768,634,661","6,768,634,661",-,,,,
Total,Total,Total,"25,707,097,708","35,434,767,722","45,942,307,149","15,199,558,281",,,,
In which:,In which:,In which:,In which:,In which:,In which:,In which:,,,,
- Taxes and amount receivables from State Budget,- Taxes and amount receivables from State Budget,- Taxes and amount receivables from State Budget,-,,,"1,211,575,620",,,,
- Taxes and amount payable to State Budget,- Taxes and amount payable to State Budget,- Taxes and amount payable to State Budget,"25,707,097,708",,,"16,411,133,901",,,,
