row_label_raw,row_label_full,Mr. Nguyen Khai Hoan,Chairman,numeric__Chairman
Mrs. Dinh Thi Nhat Hanh,Mrs. Dinh Thi Nhat Hanh,Mrs. Dinh Thi Nhat Hanh,Vice Chairwoman,
Ms. Pham Thi Minh Phu,Ms. Pham Thi Minh Phu,Ms. Pham Thi Minh Phu,Member,
Mr. Tran Manh Toan,Mr. Tran Manh Toan,Mr. Tran Manh Toan,Independent member,
Mr. Phung Quang Hai,Mr. Phung Quang Hai,Mr. Phung Quang Hai,Member (Resigned on 15 April 2024),
