row_label_raw,row_label_full,Công ty,Thành lập và hoạt động,Tỷ lệ sở hữu,Quyền biểu quyết,Hoạt động chính,numeric__Thành lập và hoạt động,numeric__Tỷ lệ sở hữu,numeric__Quyền biểu quyết,numeric__Hoạt động chính
Công ty TNHH Đầu tư Phát triển Địa ốc An Pha,Công ty TNHH Đầu tư Phát triển Địa ốc An Pha,Công ty TNHH Đầu tư Phát triển Địa ốc An Pha,TP HCM,100%,100%,Kinh doanh - môi giới BĐS,,1.0,1.0,
Công ty TNHH Đầu tư Kinh doanh Địa ốc An Thịnh Phát,Công ty TNHH Đầu tư Kinh doanh Địa ốc An Thịnh Phát,Công ty TNHH Đầu tư Kinh doanh Địa ốc An Thịnh Phát,TP HCM,100%,100%,Kinh doanh - môi giới BĐS,,1.0,1.0,
