row_label_raw,row_label_full,ITEMS,Codes,Year 2024,Year 2023,numeric__Codes,numeric__Year 2024,numeric__Year 2023
I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,,,
1. Accounting profit before tax,I. CASH FLOWS FROM OPERATING ACTIVITIES > 1. Accounting profit before tax,1. Accounting profit before tax,01,70.122.651.265,34.208.220.731,1.0,70122651265.0,34208220731.0
2. Adjustment for,2. Adjustment for,2. Adjustment for,2. Adjustment for,2. Adjustment for,2. Adjustment for,,,
- Depreciation of fixed assets,2. Adjustment for > - Depreciation of fixed assets,- Depreciation of fixed assets,02,545.019.825,442.784.888,2.0,545019825.0,442784888.0
"- Gain, loss from investing activities","2. Adjustment for > - Gain, loss from investing activities","- Gain, loss from investing activities",05,(252.527.065.396),(282.811.116.670),5.0,-252527065396.0,-282811116670.0
- Interest expenses,2. Adjustment for > - Interest expenses,- Interest expenses,06,133.834.374.116,120.613.059.548,6.0,133834374116.0,120613059548.0
3. Operating profit before movements in working capital,2. Adjustment for > 3. Operating profit before movements in working capital,3. Operating profit before movements in working capital,08,(48.025.020.190),(127.547.051.503),8.0,-48025020190.0,-127547051503.0
"- Increase, decrease in receivables","2. Adjustment for > - Increase, decrease in receivables","- Increase, decrease in receivables",09,(42.622.258.730),379.361.237.604,9.0,-42622258730.0,379361237604.0
"- Increase, decrease in inventories","2. Adjustment for > - Increase, decrease in inventories","- Increase, decrease in inventories",10,84.416.801.757,250.831.490.250,10.0,84416801757.0,250831490250.0
"- Increase, decrease in payables (exclude interest expenses. CIT)","2. Adjustment for > - Increase, decrease in payables (exclude interest expenses. CIT)","- Increase, decrease in payables (exclude interest expenses. CIT)",11,94.416.334.843,(572.702.003.202),11.0,94416334843.0,-572702003202.0
"- Increase, decrease in prepaid expenses","2. Adjustment for > - Increase, decrease in prepaid expenses","- Increase, decrease in prepaid expenses",12,(23.329.514.310),(19.485.476.414),12.0,-23329514310.0,-19485476414.0
- Interest paid,2. Adjustment for > - Interest paid,- Interest paid,14,(120.423.966.245),(114.615.195.072),14.0,-120423966245.0,-114615195072.0
- Corporate income tax paid,2. Adjustment for > - Corporate income tax paid,- Corporate income tax paid,15,(5.512.125.491),(116.889.690.209),15.0,-5512125491.0,-116889690209.0
