row_label_raw,row_label_full,col_0,Accounting software,Total,numeric__Accounting software,numeric__Total
,,,VND,VND,,
COST,COST,COST,COST,COST,,
As at 01/01/2024,As at 01/01/2024,As at 01/01/2024,"575,365,500","575,365,500",,
As at 31/12/2024,As at 31/12/2024,As at 31/12/2024,"575,365,500","575,365,500",,
ACCUMULATED AMORTIZATION,ACCUMULATED AMORTIZATION,ACCUMULATED AMORTIZATION,ACCUMULATED AMORTIZATION,ACCUMULATED AMORTIZATION,,
As at 01/01/2024,As at 01/01/2024,As at 01/01/2024,"373,850,348","373,850,348",,
Charged for the year,Charged for the year,Charged for the year,"136,800,000","136,800,000",,
As at 31/12/2024,As at 31/12/2024,As at 31/12/2024,"510,650,348","510,650,348",,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,
As at 01/01/2024,As at 01/01/2024,As at 01/01/2024,"201,515,152","201,515,152",,
As at 31/12/2024,As at 31/12/2024,As at 31/12/2024,"64,715,152","64,715,152",,
Cost of intangible fixed assets fully amortized but still in use,Cost of intangible fixed assets fully amortized but still in use,Cost of intangible fixed assets fully amortized but still in use,"301,765,500","301,765,500",,
