row_label_raw,row_label_full,Bond,Type of bond,Number of bonds,Par value,Rate (% per year),Term of bond,Purpose,Collateral assets,numeric__Type of bond,numeric__Number of bonds,numeric__Par value,numeric__Rate (% per year),numeric__Term of bond,numeric__Purpose,numeric__Collateral assets
Bond KHGH2123001 dated 5 October 2021,Bond KHGH2123001 dated 5 October 2021,Bond KHGH2123001 dated 5 October 2021,Non-covertible bonds,"300,000",1 million,12% per year; from 05 April 2023 the rate was 13.5% per year; from 05 April 2024 the rate is 12% per year,"Term of 18 months and interest paid every 3 months. The bond term was extended by 12 months to 05 April 2024 and the interest is paid once a month. During the year, the bond term continues to be extended by 12 months to 5 April 2025 and interest is paid every 2 months.",Increase the scale of working capital and/or carry out some projects,Collateral assets,,300.0,,,,,
Bond KHGH2328001 dated 28 September 2023,Bond KHGH2328001 dated 28 September 2023,Bond KHGH2328001 dated 28 September 2023,Non-covertible bonds,"2,400",100 million,13.5% per year (for first 12 months). Interest rates will change according to regulations in the next term.,Term of 60 months and interest paid every 6 months.,Carry out some projects,Guaranteed for payment by a credit institution,,2.4,,,,,
Bond KHGH2429001 dated 20 June 2024,Bond KHGH2429001 dated 20 June 2024,Bond KHGH2429001 dated 20 June 2024,Non-covertible bonds,"2,500",100 million,13.5% per year for first term. Interest rates will change according to regulations in the next term.,Term of 60 months and interest paid every 6 months.,Carry out some projects,Guaranteed for payment by a credit institution,,2.5,,,,,
