row_label_raw,row_label_full,ITEMS,Codes,Notes,31/12/2024,01/01/2024,numeric__Codes,numeric__Notes,numeric__31/12/2024,numeric__01/01/2024
C - LIABILITIES,C - LIABILITIES,C - LIABILITIES,300,,"1,371,352,118,388","1,225,526,397,420",300.0,,,
I. Current liabilities,I. Current liabilities,I. Current liabilities,310,,"780,420,118,388","984,926,397,420",310.0,,,
1. Short-term trade payables,1. Short-term trade payables,1. Short-term trade payables,311,15,"22,120,418,259","65,282,526,557",311.0,15.0,,
2. Short-term advances from customers,2. Short-term advances from customers,2. Short-term advances from customers,312,,"274,909,091","24,067,075,100",312.0,,,
3. Taxes and amount payables to the,3. Taxes and amount payables to the,3. Taxes and amount payables to the,313,16,"16,411,133,901","25,707,097,708",313.0,16.0,,
4. Payables to employees,4. Payables to employees,4. Payables to employees,314,,"10,565,848,186","11,965,355,002",314.0,,,
5. Short-term accrued expenses,5. Short-term accrued expenses,5. Short-term accrued expenses,315,17,"34,134,056,580","52,037,112,660",315.0,17.0,,
6. Other short-term payables,6. Other short-term payables,6. Other short-term payables,319,18,"254,356,045,867","40,867,230,393",319.0,18.0,,
7. Short-term loans and obligations under finance leases,7. Short-term loans and obligations under finance leases,7. Short-term loans and obligations under finance leases,320,19,"442,557,706,504","765,000,000,000",320.0,19.0,,
II. Long-term liabilities,II. Long-term liabilities,II. Long-term liabilities,330,,"590,932,000,000","240,600,000,000",330.0,,,
1. Other long-term payables,1. Other long-term payables,1. Other long-term payables,337,18,"475,000,000","600,000,000",337.0,18.0,,
2. Long-term loans and obligations under finance leases,2. Long-term loans and obligations under finance leases,2. Long-term loans and obligations under finance leases,338,19,"590,457,000,000","240,000,000,000",338.0,19.0,,
D - EQUITY,D - EQUITY,D - EQUITY,400,,"5,219,834,266,311","5,165,208,012,287",400.0,,,
I. Owners' equity,I. Owners' equity,I. Owners' equity,410,20,"5,219,834,266,311","5,165,208,012,287",410.0,20.0,,
1. Owners' contributed capital,1. Owners' contributed capital,1. Owners' contributed capital,411,,"4,494,352,050,000","4,494,352,050,000",411.0,,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"4,494,352,050,000","4,494,352,050,000",,,,
2. Capital surplus,- Ordinary shares with voting rights > 2. Capital surplus,2. Capital surplus,412,,"13,054,455,000","13,054,455,000",412.0,,,
3. Retained earnings,- Ordinary shares with voting rights > 3. Retained earnings,3. Retained earnings,421,,"712,427,761,311","657,801,507,287",421.0,,,
- Retained earnings accumulated to the prior year end,- Retained earnings accumulated to the prior year end,- Retained earnings accumulated to the prior year end,421a,,"657,801,507,287","632,440,368,034",,,,
- Retained earnings of the current,- Retained earnings of the current,- Retained earnings of the current,421b,,"54,626,254,024","25,361,139,253",,,,
TOTAL RESOURCES,- Retained earnings of the current > TOTAL RESOURCES,TOTAL RESOURCES,440,,"6,591,186,384,699","6,390,734,409,707",440.0,,,
