row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,"Thiết bị,dụng cụquản lý",TSCĐ hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,"numeric__Thiết bị,dụng cụquản lý",numeric__TSCĐ hữuhình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,593.779,469.289,477.572,413.352,29.508,1.983.500,593779.0,469289.0,477572.0,413352.0,29508.0,1983500.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,74.846,66.947,71.093,24.346,12.054,249.286,74846.0,66947.0,71093.0,24346.0,12054.0,249286.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.776),(16.183),(17.096),(22.262),(259),(63.576),-7776.0,-16183.0,-17096.0,-22262.0,-259.0,-63576.0
Giám khác,Nguyên giá > Giám khác,Giám khác,-,-,-,(30),-,(30),,,,-30.0,,-30.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,660.849,520.053,531.569,415.406,41.303,2.169.180,660849.0,520053.0,531569.0,415406.0,41303.0,2169180.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,180.065,225.253,326.691,348.075,15.961,1.096.045,180065.0,225253.0,326691.0,348075.0,15961.0,1096045.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.126,55.972,44.583,31.282,3.834,159.797,24126.0,55972.0,44583.0,31282.0,3834.0,159797.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.052),(16.155),(17.096),(22.254),(259),(59.816),-4052.0,-16155.0,-17096.0,-22254.0,-259.0,-59816.0
Giám khác,Giá trị hao mòn lũy kế > Giám khác,Giám khác,-,-,-,(3),-,(3),,,,-3.0,,-3.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,200.139,265.070,354.178,357.100,19.536,1.196.023,200139.0,265070.0,354178.0,357100.0,19536.0,1196023.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,413.714,244.036,150.881,65.277,13.547,887.455,413714.0,244036.0,150881.0,65277.0,13547.0,887455.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,460.710,254.983,177.391,58.306,21.767,973.157,460710.0,254983.0,177391.0,58306.0,21767.0,973157.0
