row_label_raw,row_label_full,CHỈ TIÊU,Miền Bắc > Triệu VND,Miền Trung > Triệu VND,Miền Nam (*) > Triệu VND,Nước ngoài > Triệu VND,Điều chỉnh > Triệu VND,Tổng cộng > Triệu VND,numeric__Miền Bắc > Triệu VND,numeric__Miền Trung > Triệu VND,numeric__Miền Nam (*) > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Tổng cộng > Triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,34.345.128,9.018.498,100.444.634,-,(75.815.844),67.992.416,34345128.0,9018498.0,100444634.0,,-75815844.0,67992416.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(21.650.360),(6.329.870),(81.081.840),-,75.815.844,(33.246.226),-21650360.0,-6329870.0,-81081840.0,,75815844.0,-33246226.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,12.694.768,2.688.628,19.362.794,-,-,34.746.190,12694768.0,2688628.0,19362794.0,,,34746190.0
Các khoản thu nhập thuần ngoài lãi,Các khoản thu nhập thuần ngoài lãi,Các khoản thu nhập thuần ngoài lãi,1.719.734,179.482,6.050.466,-,-,7.949.682,1719734.0,179482.0,6050466.0,,,7949682.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(1.406.741),(825.034),(9.367.047),(2.165),-,(11.600.987),-1406741.0,-825034.0,-9367047.0,-2165.0,,-11600987.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tin dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tin dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tin dụng,13.007.761,2.043.076,16.046.213,(2.165),-,31.094.885,13007761.0,2043076.0,16046213.0,-2165.0,,31094885.0
Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,(817.859),(298.618),(8.631.917),,,(9.748.394),-817859.0,-298618.0,-8631917.0,,,-9748394.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,12.189.902,1.744.458,7.414.296,(2.165),-,21.346.491,12189902.0,1744458.0,7414296.0,-2165.0,,21346491.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,221.093.551,65.618.324,656.684.158,1.164,(12.293.252),931.103.945,221093551.0,65618324.0,656684158.0,1164.0,-12293252.0,931103945.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,208.903.649,63.873.865,592.330.832,3.329,(12.293.252),852.818.423,208903649.0,63873865.0,592330832.0,3329.0,-12293252.0,852818423.0
