row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Đơn vị: Triệu VND > Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: Triệu VND > Số đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng",5,4.126.643,3.105.355,,5.0,4126643.0,3105355.0
II.,A. > II.,II.,"Tiền gửi tại Ngân hàng Nhà nước (""NHNN"")",6,59.907.114,26.680.270,,6.0,59907114.0,26680270.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,184.262.209,101.600.254,,7.0,184262209.0,101600254.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,156.340.825,94.225.901,,,156340825.0,94225901.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,27.921.384,7.374.353,,,27921384.0,7374353.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,490.537,21.955.775,,8.0,490537.0,21955775.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,490.537,21.955.775,,,490537.0,21955775.0
V.,A. > V.,V.,Cho vay khách hàng,,539.071.334,436.606.237,,,539071334.0,436606237.0
1.,A. > 1.,1.,Cho vay khách hàng,10,546.370.779,442.484.841,,10.0,546370779.0,442484841.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(7.299.445),(5.878.604),,11.0,-7299445.0,-5878604.0
VI.,A. > VI.,VI.,Hoạt động mua nợ,12,23.746.425,-,,12.0,23746425.0,
1.,A. > 1.,1.,Mua nợ,,23.925.869,-,,,23925869.0,
2.,A. > 2.,2.,Dự phòng rủi ro hoạt động mua nợ,,(179.444),-,,,-179444.0,
VII.,A. > VII.,VII.,Chứng khoán đầu tư,13,76.811.704,48.751.284,,13.0,76811704.0,48751284.0
1.,A. > 1.,1.,Chứng khoán đầu tư sản sàng để bán,13.1,72.904.811,31.407.524,,131.0,72904811.0,31407524.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,4.039.836,17.436.610,,132.0,4039836.0,17436610.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,13.5,(132.943),(92.850),,135.0,-132943.0,-92850.0
VIII.,A. > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",14,1.158.184,857.783,,14.0,1158184.0,857783.0
1.,A. > 1.,1.,Đầu tư vào công ty liên kết,,1.040.690,729.739,,,1040690.0,729739.0
2.,A. > 2.,2.,Đầu tư dài hạn khác,,125.667,146.546,,,125667.0,146546.0
3.,A. > 3.,3.,Dự phòng giám giá đầu tư dài hạn,,(8.173),(18.502),,,-8173.0,-18502.0
IX.,A. > IX.,IX.,Tài sản cố định,,1.860.436,1.765.927,,,1860436.0,1765927.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,15,973.157,887.455,,15.0,973157.0,887455.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,2.169.180,1.983.500,,,2169180.0,1983500.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(1.196.023),(1.096.045),,,-1196023.0,-1096045.0
2.,A. > 2.,2.,Tài sản cố định vô hình,16,887.279,878.472,,16.0,887279.0,878472.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,1.392.388,1.291.428,,,1392388.0,1291428.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(505.109),(412.956),,,-505109.0,-412956.0
X.,A. > X.,X.,Tài sản Có khác,17,39.669.359,56.043.573,,17.0,39669359.0,56043573.0
1.,A. > 1.,1.,Các khoản phải thu,17.1,22.309.755,46.334.855,,171.0,22309755.0,46334855.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",17.2,6.221.116,5.383.522,,172.0,6221116.0,5383522.0
3.,A. > 3.,3.,Tài sản thuế TNDN hoãn lại,,72.726,155.916,,,72726.0,155916.0
4.,A. > 4.,4.,Tài sản Có khác,17.3,11.119.977,4.216.206,,173.0,11119977.0,4216206.0
5.,A. > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bảng khác,17.5,(54.215),(46.926),,175.0,-54215.0,-46926.0
,,,TỔNG TÀI SẢN CÓ,,931.103.945,697.366.458,,,931103945.0,697366458.0
