row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm nay,Đơn vị: Triệu VNDNăm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Năm nay,numeric__Đơn vị: Triệu VNDNăm trước(Trình bày lại)
,,,LU'|U CHUYÊN TIÊN THUẦN Tử HOẠT ĐỘNG KINH DOANH,,,,,
01.,01.,01.,Thu nhập lãi và các khoản thu nhập tương tự nhận được,67.209.207,58.776.168,,67209207.0,58776168.0
02.,02.,02.,Chi phí lãi và các chi phí tương tự đã trả,(32.013.429),(29.501.519),,-32013429.0,-29501519.0
03.,03.,03.,Thu nhập từ hoạt động dịch vụ nhận được,3.865.278,1.688.787,,3865278.0,1688787.0
04.,04.,04.,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, chứng khoán",2.804.876,1.428.830,,2804876.0,1428830.0
05.,05.,05.,Thu nhập khác,138.063,285.759,,138063.0,285759.0
06.,06.,06.,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",574.902,333.106,,574902.0,333106.0
07.,07.,07.,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(15.410.425),(10.962.548),,-15410425.0,-10962548.0
08.,08.,08.,Tiền thuê thu nhập doanh nghiệp thực nộp trong năm Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,(2.591.536),(4.466.688),,-2591536.0,-4466688.0
,,,,24.576.936,17.581.895,,24576936.0,17581895.0
,,,Những thay đối về tài sản hoạt động,,,,,
09.,09.,09.,(Tăng)/giảm đối các khoản tiền gửi và cho vay các TCTD khác,(20.547.031),1.020.425,,-20547031.0,1020425.0
10.,10.,10.,(Tăng)/giảm các khoản về kinh doanh chứng khoán,(19.915.951),5.473.554,,-19915951.0,5473554.0
11.,11.,11.,Giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,-,110.079,,,110079.0
12.,12.,12.,Tăng các khoản cho vay khách hàng,(127.811.807),(99.080.546),,-127811807.0,-99080546.0
13.,13.,13.,"Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tổn thất",(8.154.036),(3.497.287),,-8154036.0,-3497287.0
14.,14.,14.,Giảm khác về tài sản hoạt động,21.194.745,137.731,,21194745.0,137731.0
,,,Những thay đối về công nợ hoạt động,,,,,
15.,15.,15.,Tăng/(giảm) các khoản nợ chính phủ và NHNN,11.416.452,(5.095),,11416452.0,-5095.0
16.,16.,16.,"Tăng/(giảm) các khoản tiền gửi, tiền vay các TCTD khác",70.615.586,(13.030.390),,70615586.0,-13030390.0
17.,17.,17.,Tăng tiền gửi của khách hàng,123.209.117,66.727.277,,123209117.0,66727277.0
18.,18.,18.,Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),2.031.161,14.682.660,,2031161.0,14682660.0
19.,19.,19.,"Giảm vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",(66.491),(22.686),,-66491.0,-22686.0
20.,20.,20.,(Giảm)/tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(18.022),18.449,,-18022.0,18449.0
21.,21.,21.,(Giảm)/tăng khác về công nợ hoạt động,(1.048.807),2.517.620,,-1048807.0,2517620.0
22.,22.,22.,Chi từ quỹ của tổ chức tín dụng,(70.462),(18.159),,-70462.0,-18159.0
I.,I.,I.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,75.411.390,(7.384.473),,75411390.0,-7384473.0
