row_label_raw,row_label_full,col_0,Quá hạn,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,Trong hạn_6,Tổng cộng,numeric__Quá hạn,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5,numeric__Trong hạn_6,numeric__Tổng cộng
,,,Quá hạn,Không chịu lãi suất,Đến 01 tháng,Từ 01 đến 03 tháng,Từ 03 đến 06 tháng,Từ 06 đến 12 tháng,Từ 01 đến 05 năm,Trên 05 năm,Tổng cộng,,,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mật, vàng","Tài sản > Tiền mật, vàng","Tiền mật, vàng",-,4.126.643,-,-,-,-,-,-,4.126.643,,4126643.0,,,,,,,4126643.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,59.907.114,-,-,-,-,-,-,59.907.114,,59907114.0,,,,,,,59907114.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,147.740.825,8.600.000,4.004,27.917.380,-,-,184.262.209,,,147740825.0,8600000.0,4004.0,27917380.0,,,184262209.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,490.537,-,-,490.537,,,,,,490537.0,,,490537.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),32.113.173,-,69.592.893,146.166.119,91.608.398,184.000.539,21.737.316,1.152.341,546.370.779,32113173.0,,69592893.0,146166119.0,91608398.0,184000539.0,21737316.0,1152341.0,546370779.0
Hoạt động mua nợ (*),Tài sản > Hoạt động mua nợ (*),Hoạt động mua nợ (*),-,-,1.642.497,9.619.131,5.466.936,3.774.098,3.423.207,-,23.925.869,,,1642497.0,9619131.0,5466936.0,3774098.0,3423207.0,,23925869.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,538.536,1.753.300,11.236.680,17.897.281,26.592.382,18.926.468,76.944.647,,,538536.0,1753300.0,11236680.0,17897281.0,26592382.0,18926468.0,76944647.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,1.166.357,-,-,-,-,-,-,1.166.357,,1166357.0,,,,,,,1166357.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.860.436,-,-,-,-,-,-,1.860.436,,1860436.0,,,,,,,1860436.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),54.928,27.247.199,875.784,2.180.260,1.277.639,8.087.764,-,-,39.723.574,54928.0,27247199.0,875784.0,2180260.0,1277639.0,8087764.0,,,39723574.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,32.168.101,94.307.749,220.390.535,168.318.810,109.593.657,242.167.599,51.752.905,20.078.809,938.778.165,32168101.0,94307749.0,220390535.0,168318810.0,109593657.0,242167599.0,51752905.0,20078809.0,938778165.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.986.863,9.434.655,520,1.040,2.894,-,11.425.972,,,1986863.0,9434655.0,520.0,1040.0,2894.0,,11425972.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,122.350.952,17.260.292,24.136.039,5.460.012,-,-,169.207.295,,,122350952.0,17260292.0,24136039.0,5460012.0,,,169207295.0
