row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập tử hoạt động dịch vụ,Thu nhập tử hoạt động dịch vụ,Thu nhập tử hoạt động dịch vụ,5.697.854,3.648.913,5697854.0,3648913.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,1.910.707,1.879.608,1910707.0,1879608.0
Thu từ dịch vụ đại lý bảo hiểm,Thu từ dịch vụ đại lý bảo hiểm,Thu từ dịch vụ đại lý bảo hiểm,1.348.300,1.082.915,1348300.0,1082915.0
Thu dịch vụ khác,Thu dịch vụ khác,Thu dịch vụ khác,2.438.847,686.390,2438847.0,686390.0
Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,(1.571.814),(1.879.045),-1571814.0,-1879045.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.233.252),(1.126.024),-1233252.0,-1126024.0
Chi về dịch vụ đại lý bảo hiểm,Chi về dịch vụ đại lý bảo hiểm,Chi về dịch vụ đại lý bảo hiểm,(106.017),(473.808),-106017.0,-473808.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(129.255),(205.804),-129255.0,-205804.0
Chi dịch vụ khác,Chi dịch vụ khác,Chi dịch vụ khác,(103.290),(73.409),-103290.0,-73409.0
,,,4.126.040,1.769.868,4126040.0,1769868.0
