row_label_raw,row_label_full,Ông Đào Duy Tường,Trường ban,numeric__Trường ban
Bà Đường Thị Thu,Bà Đường Thị Thu,Bà Đường Thị Thu,Thành viên,
Bà Bùi Thị Kiêu Oanh,Bà Bùi Thị Kiêu Oanh,Bà Bùi Thị Kiêu Oanh,Thành viên,
Ông Nguyễn Lê Hiếu,Ông Nguyễn Lê Hiếu,Ông Nguyễn Lê Hiếu,Thành viên,
