row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,01.,01.,Mua sắm tài sản cố định,(350.338),(541.148),,-350338.0,-541148.0
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",207.925,1.764,,207925.0,1764.0
03.,03.,03.,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",-,(658.075),,,-658075.0
04.,04.,04.,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",11.880,17.375,,11880.0,17375.0
05.,05.,05.,"Tiền thu cố tức và lợi nhuận được chia tử các khoản đầu tư,góp vốn dài hạn",8.521,-,,8521.0,
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(122.012),(1.180.084),,-122012.0,-1180084.0
,,,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYẾN TIỀN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,01.,01.,Tăng vốn từ phát hành cố phiếu,4.179.573,200.000,,4179573.0,200000.0
02.,02.,02.,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiệntính vào vốn tự có và các khoản vốn vay dài hạn khác,11.431.600,17.301.667,,11431600.0,17301667.0
03.,03.,03.,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tínhvào vốn tự có và các khoản vốn vay dài hạn khác,(8.253.023),(1.174.801),,-8253023.0,-1174801.0
04.,04.,04.,Cố tức trả cho cố động,-,(2.912.550),,,-2912550.0
05.,05.,05.,Tiền thu được do bán cố phiếu quỹ,465.528,-,,465528.0,
III.,III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,7.823.678,13.414.316,,7823678.0,13414316.0
IV.,IV.,IV.,Lưu chuyển tiền thuần trong năm,83.113.056,4.849.759,,83113056.0,4849759.0
V.,V.,V.,Tiền và các khoản tương đương tiền đầu năm,137.261.526,132.411.767,,137261526.0,132411767.0
VI.,VI.,VI.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 37),220.374.582,137.261.526,,220374582.0,137261526.0
